번호,재산종류,재산구분,소재지(지번),소재지(도로명),지목(공부),대장면적(단위:㎡)
1,건물,행정재산,서울특별시 용산구 갈월동 98-8,서울특별시 용산구 한강대로71길 37 (갈월동),,"6,660.06"
2,토지,행정재산,서울특별시 용산구 용문동 5-100,,대,72.70
3,토지,행정재산,서울특별시 용산구 용문동 5-106,,대,27.10
4,토지,행정재산,서울특별시 용산구 용문동 5-110,,대,28.10
5,토지,행정재산,서울특별시 용산구 용문동 5-129,,대,53.30
6,토지,행정재산,서울특별시 용산구 용문동 5-56,,대,115.70
7,토지,행정재산,서울특별시 용산구 용문동 5-57,,대,99.20
8,토지,행정재산,서울특별시 용산구 용문동 5-58,,대,142.10
9,토지,행정재산,서울특별시 용산구 용문동 5-98,,대,50.60
10,토지,행정재산,서울특별시 용산구 도원동 9-126,,대,11.20
11,토지,행정재산,서울특별시 용산구 도원동 9-304,,대,34.50
12,토지,행정재산,서울특별시 용산구 용문동 5-102,,대,77.70
13,토지,행정재산,서울특별시 용산구 용문동 5-105,,대,27.10
14,토지,행정재산,서울특별시 용산구 용문동 5-107,,대,58.20
15,토지,행정재산,서울특별시 용산구 용문동 5-108,,대,27.10
16,토지,행정재산,서울특별시 용산구 용문동 5-109,,대,27.10
17,토지,행정재산,서울특별시 용산구 용문동 5-111,,대,28.10
18,토지,행정재산,서울특별시 용산구 용문동 5-112,,대,100.50
19,토지,행정재산,서울특별시 용산구 용문동 5-46,,대,148.80
20,토지,행정재산,서울특별시 용산구 용문동 5-47,,대,52.90
21,토지,행정재산,서울특별시 용산구 용문동 5-48,,대,69.40
22,토지,행정재산,서울특별시 용산구 용문동 5-49,,대,59.50
23,토지,행정재산,서울특별시 용산구 용문동 5-50,,대,62.80
24,토지,행정재산,서울특별시 용산구 용문동 5-51,,대,76.00
25,토지,행정재산,서울특별시 용산구 용문동 5-52,,대,41.30
26,토지,행정재산,서울특별시 용산구 용문동 5-53,,대,76.70
27,토지,행정재산,서울특별시 용산구 용문동 5-54,,대,99.20
28,토지,행정재산,서울특별시 용산구 용문동 5-55,,대,92.60
29,토지,행정재산,서울특별시 용산구 용문동 5-60,,대,43.00
30,토지,행정재산,서울특별시 용산구 용문동 5-61,,대,56.70
31,토지,행정재산,서울특별시 용산구 용문동 5-99,,대,112.40
32,토지,행정재산,서울특별시 용산구 원효로2가 1-55,,대,63.10
33,토지,행정재산,서울특별시 용산구 원효로2가 1-56,,대,47.90
34,토지,행정재산,서울특별시 용산구 원효로2가 1-57,,대,56.20
35,토지,행정재산,서울특별시 용산구 원효로2가 1-58,,대,49.60
36,토지,행정재산,서울특별시 용산구 원효로2가 1-59,,대,46.30
37,토지,행정재산,서울특별시 용산구 원효로2가 7-16,,대,5.80
38,건물,행정재산,서울특별시 용산구 갈월동 98-8,서울특별시 용산구 한강대로71길 37 (갈월동),,"2,975.26"
39,토지,행정재산,서울특별시 용산구 갈월동 7-163,,대,13.60
40,토지,일반재산,서울특별시 용산구 서계동 33-66,,대,26.80
41,토지,행정재산,서울특별시 용산구 서계동 33-68,,대,13.20
42,토지,행정재산,서울특별시 용산구 서계동 33-69,,도로,26.40
43,토지,행정재산,서울특별시 용산구 서계동 33-72,,대,6.60
44,토지,행정재산,서울특별시 용산구 서계동 33-77,,도로,115.70
45,토지,행정재산,서울특별시 용산구 서계동 33-79,,도로,13.20
46,토지,행정재산,서울특별시 용산구 서계동 33-97,,도로,26.10
47,토지,일반재산,서울특별시 용산구 서계동 33-135,,대,9.90
48,토지,일반재산,서울특별시 용산구 서계동 33-136,,도로,6.60
49,토지,일반재산,서울특별시 용산구 서계동 33-137,,대,43.00
50,토지,행정재산,서울특별시 용산구 서계동 33-163,,도로,14.80
51,토지,일반재산,서울특별시 용산구 서계동 33-176,,도로,416.50
52,토지,일반재산,서울특별시 용산구 서계동 33-180,,도로,16.50
53,토지,일반재산,서울특별시 용산구 서계동 33-191,,대,13.80
54,토지,일반재산,서울특별시 용산구 서계동 33-65,,대,19.80
55,토지,행정재산,서울특별시 용산구 서계동 33-60,,대,23.10
56,토지,일반재산,서울특별시 용산구 서계동 32-3,,도로,1.60
57,토지,일반재산,서울특별시 용산구 서계동 24-1,,대,11.20
58,토지,일반재산,서울특별시 용산구 서계동 22-7,,도로,16.50
59,토지,행정재산,서울특별시 용산구 서계동 15-2,,도로,3.30
60,토지,행정재산,서울특별시 용산구 서계동 14-2,,도로,6.60
61,토지,행정재산,서울특별시 용산구 서계동 12-2,,도로,9.90
62,토지,행정재산,서울특별시 용산구 서계동 10-6,,대,9.90
63,토지,행정재산,서울특별시 용산구 서계동 9-5,,대,13.20
64,토지,행정재산,서울특별시 용산구 동자동 44-4,,도로,49.60
65,토지,행정재산,서울특별시 용산구 동자동 44-3,,도로,"1,035.40"
66,토지,행정재산,서울특별시 용산구 동자동 43-216,,도로,105.60
67,토지,행정재산,서울특별시 용산구 동자동 43-215,,도로,7.00
68,토지,행정재산,서울특별시 용산구 동자동 43-213,,도로,"1,014.60"
69,토지,행정재산,서울특별시 용산구 동자동 43-212,,도로,"2,924.50"
70,토지,행정재산,서울특별시 용산구 동자동 43-211,,도로,"3,760.90"
71,토지,행정재산,서울특별시 용산구 서계동 33-200,,도로,33.00
72,토지,일반재산,서울특별시 용산구 서계동 33-214,,대,11.60
73,토지,일반재산,서울특별시 용산구 서계동 33-215,,대,3.30
74,토지,행정재산,서울특별시 용산구 서계동 50-1,,도로,178.80
75,토지,일반재산,서울특별시 용산구 서계동 54-1,,대,6.00
76,토지,행정재산,서울특별시 용산구 서계동 54-4,,대,92.80
77,토지,행정재산,서울특별시 용산구 서계동 54-7,,대,43.60
78,토지,일반재산,서울특별시 용산구 서계동 55-2,,대,42.00
79,토지,행정재산,서울특별시 용산구 서계동 66-1,,도로,547.30
80,토지,행정재산,서울특별시 용산구 서계동 67-1,,하천,26.40
81,토지,행정재산,서울특별시 용산구 서계동 76-2,,하천,458.50
82,토지,행정재산,서울특별시 용산구 서계동 76-3,,도로,1.30
83,토지,행정재산,서울특별시 용산구 서계동 77-2,,하천,296.80
84,토지,행정재산,서울특별시 용산구 서계동 78-2,,도로,652.60
85,토지,일반재산,서울특별시 용산구 서계동 95-5,,대,3.00
86,토지,일반재산,서울특별시 용산구 서계동 95-8,,대,101.20
87,토지,일반재산,서울특별시 용산구 서계동 95-26,,대,7.60
88,토지,행정재산,서울특별시 용산구 서계동 95-27,,도로,8.30
89,토지,행정재산,서울특별시 용산구 서계동 48-1,,도로,10.20
90,토지,행정재산,서울특별시 용산구 서계동 47-6,,도로,36.40
91,토지,일반재산,서울특별시 용산구 서계동 47-5,,대,6.60
92,토지,일반재산,서울특별시 용산구 서계동 33-241,,대,31.70
93,토지,일반재산,서울특별시 용산구 서계동 33-247,,대,23.10
94,토지,일반재산,서울특별시 용산구 서계동 33-261,,대,6.60
95,토지,일반재산,서울특별시 용산구 서계동 33-262,,대,40.40
96,토지,일반재산,서울특별시 용산구 서계동 33-266,,대,10.90
97,토지,일반재산,서울특별시 용산구 서계동 33-270,,대,13.60
98,토지,일반재산,서울특별시 용산구 서계동 33-293,,대,40.30
99,토지,행정재산,서울특별시 용산구 서계동 33-315,,도로,0.30
100,토지,일반재산,서울특별시 용산구 서계동 33-333,,도로,39.70
101,토지,행정재산,서울특별시 용산구 서계동 33-343,,도로,1.70
102,토지,일반재산,서울특별시 용산구 서계동 33-354,,대,12.60
103,토지,일반재산,서울특별시 용산구 서계동 45-1,,도로,76.40
104,토지,일반재산,서울특별시 용산구 서계동 45-4,,대,5.60
105,토지,일반재산,서울특별시 용산구 서계동 45-17,,대,2.90
106,토지,행정재산,서울특별시 용산구 서계동 47-4,,도로,62.80
107,토지,행정재산,서울특별시 용산구 동자동 43-210,,도로,358.00
108,토지,행정재산,서울특별시 용산구 동자동 43-208,,도로,7.90
109,토지,행정재산,서울특별시 용산구 동자동 14-198,,도로,49.60
110,토지,행정재산,서울특별시 용산구 동자동 14-199,,도로,52.90
111,토지,행정재산,서울특별시 용산구 동자동 14-200,,도로,"1,138.30"
112,토지,행정재산,서울특별시 용산구 동자동 14-229,,도로,118.30
113,토지,일반재산,서울특별시 용산구 동자동 19-39,,도로,83.00
114,토지,일반재산,서울특별시 용산구 동자동 19-66,,대,1.70
115,토지,행정재산,서울특별시 용산구 동자동 19-72,,대,0.30
116,토지,행정재산,서울특별시 용산구 동자동 19-104,,도로,6.90
117,토지,일반재산,서울특별시 용산구 동자동 19-108,,대,66.10
118,토지,일반재산,서울특별시 용산구 동자동 19-109,,대,12.90
119,토지,일반재산,서울특별시 용산구 동자동 19-110,,대,185.10
120,토지,일반재산,서울특별시 용산구 동자동 19-118,,대,166.10
121,토지,일반재산,서울특별시 용산구 동자동 19-122,,대,4.40
122,토지,일반재산,서울특별시 용산구 동자동 19-123,,대,6.50
123,토지,일반재산,서울특별시 용산구 동자동 21-8,,대,11.60
124,토지,행정재산,서울특별시 용산구 동자동 14-170,,도로,77.00
125,토지,행정재산,서울특별시 용산구 동자동 14-168,,도로,17.50
126,토지,행정재산,서울특별시 용산구 동자동 14-166,,도로,72.70
127,토지,행정재산,서울특별시 용산구 동자동 14-40,,도로,12.20
128,토지,행정재산,서울특별시 용산구 동자동 14-41,,도로,9.20
129,토지,행정재산,서울특별시 용산구 동자동 14-43,,도로,5.30
130,토지,행정재산,서울특별시 용산구 동자동 14-53,,도로,139.20
131,토지,행정재산,서울특별시 용산구 동자동 14-67,,도로,369.00
132,토지,행정재산,서울특별시 용산구 동자동 14-83,,도로,66.10
133,토지,행정재산,서울특별시 용산구 동자동 14-87,,도로,"1,153.10"
134,토지,행정재산,서울특별시 용산구 동자동 14-106,,도로,7.30
135,토지,행정재산,서울특별시 용산구 동자동 14-111,,도로,6.30
136,토지,일반재산,서울특별시 용산구 동자동 14-130,,대,88.30
137,토지,행정재산,서울특별시 용산구 동자동 14-133,,도로,121.30
138,토지,행정재산,서울특별시 용산구 동자동 14-143,,도로,146.10
139,토지,행정재산,서울특별시 용산구 동자동 14-146,,도로,"1,848.30"
140,토지,행정재산,서울특별시 용산구 동자동 14-147,,도로,19.80
141,토지,행정재산,서울특별시 용산구 동자동 14-161,,도로,29.40
142,토지,일반재산,서울특별시 용산구 동자동 21-9,,대,0.30
143,토지,일반재산,서울특별시 용산구 동자동 22-46,,대,4.30
144,토지,일반재산,서울특별시 용산구 동자동 22-52,,대,58.50
145,토지,일반재산,서울특별시 용산구 동자동 24-49,,대,7.80
146,토지,행정재산,서울특별시 용산구 동자동 30-7,,도로,9.90
147,토지,일반재산,서울특별시 용산구 동자동 35-63,,대,1.00
148,토지,일반재산,서울특별시 용산구 동자동 35-68,,도로,3.30
149,토지,일반재산,서울특별시 용산구 동자동 35-121,,대,5.60
150,토지,일반재산,서울특별시 용산구 동자동 35-130,,도로,220.70
151,토지,일반재산,서울특별시 용산구 동자동 35-172,,대,6.90
152,토지,일반재산,서울특별시 용산구 동자동 35-173,,대,4.60
153,토지,일반재산,서울특별시 용산구 동자동 35-174,,대,4.10
154,토지,일반재산,서울특별시 용산구 동자동 35-187,,대,3.00
155,토지,일반재산,서울특별시 용산구 동자동 38-14,,대,4.10
156,토지,행정재산,서울특별시 용산구 동자동 43-5,,도로,849.60
157,토지,행정재산,서울특별시 용산구 동자동 43-7,,도로,2.30
158,토지,행정재산,서울특별시 용산구 동자동 43-204,,도로,0.70
159,토지,행정재산,서울특별시 용산구 동자동 43-207,,도로,"6,806.60"
160,토지,일반재산,서울특별시 용산구 동자동 24-47,,대,3.00
161,토지,일반재산,서울특별시 용산구 동자동 24-42,,대,10.10
162,토지,일반재산,서울특별시 용산구 동자동 24-40,,대,3.60
163,토지,일반재산,서울특별시 용산구 동자동 22-58,,대,3.30
164,토지,행정재산,서울특별시 용산구 동자동 22-59,,대,0.30
165,토지,일반재산,서울특별시 용산구 동자동 22-75,,대,50.00
166,토지,일반재산,서울특별시 용산구 동자동 23-1,,대,92.60
167,토지,행정재산,서울특별시 용산구 동자동 23-9,,도로,52.60
168,토지,일반재산,서울특별시 용산구 동자동 23-21,,대,6.30
169,토지,행정재산,서울특별시 용산구 동자동 23-25,,도로,45.80
170,토지,일반재산,서울특별시 용산구 동자동 23-26,,대,0.70
171,토지,일반재산,서울특별시 용산구 동자동 23-33,,대,29.00
172,토지,행정재산,서울특별시 용산구 동자동 23-34,,도로,2.50
173,토지,일반재산,서울특별시 용산구 동자동 23-37,,대,9.00
174,토지,일반재산,서울특별시 용산구 동자동 24-4,,대,73.40
175,토지,일반재산,서울특별시 용산구 동자동 24-32,,대,38.70
176,토지,일반재산,서울특별시 용산구 동자동 24-34,,대,62.10
177,토지,일반재산,서울특별시 용산구 동자동 24-37,,대,4.80
178,토지,행정재산,서울특별시 용산구 서계동 99-5,,도로,266.10
179,토지,일반재산,서울특별시 용산구 서계동 99-21,,대,7.60
180,토지,행정재산,서울특별시 용산구 서계동 100-33,,도로,22.30
181,토지,일반재산,서울특별시 용산구 서계동 235-10,,대,23.10
182,토지,행정재산,서울특별시 용산구 서계동 235-11,,도로,29.80
183,토지,행정재산,서울특별시 용산구 서계동 236-23,,대,6.70
184,토지,일반재산,서울특별시 용산구 서계동 236-40,,대,1.00
185,토지,행정재산,서울특별시 용산구 서계동 236-41,,대,0.60
186,토지,행정재산,서울특별시 용산구 서계동 236-47,,대,7.50
187,토지,일반재산,서울특별시 용산구 서계동 236-49,,대,5.20
188,토지,일반재산,서울특별시 용산구 서계동 236-52,,대,0.90
189,토지,일반재산,서울특별시 용산구 서계동 236-56,,대,22.10
190,토지,일반재산,서울특별시 용산구 서계동 236-57,,도로,5.90
191,토지,행정재산,서울특별시 용산구 서계동 236-58,,도로,0.70
192,토지,행정재산,서울특별시 용산구 서계동 236-59,,도로,28.80
193,토지,일반재산,서울특별시 용산구 서계동 237-2,,대,1.30
194,토지,일반재산,서울특별시 용산구 서계동 237-11,,대,5.60
195,토지,일반재산,서울특별시 용산구 서계동 237-13,,대,15.90
196,토지,행정재산,서울특별시 용산구 서계동 235-4,,도로,13.20
197,토지,행정재산,서울특별시 용산구 서계동 234-50,,대,1.60
198,토지,행정재산,서울특별시 용산구 서계동 234-33,,도로,95.00
199,토지,행정재산,서울특별시 용산구 서계동 230-1,,도로,9.90
200,토지,행정재산,서울특별시 용산구 서계동 230-3,,도로,6.60
201,토지,행정재산,서울특별시 용산구 서계동 230-7,,도로,9.90
202,토지,일반재산,서울특별시 용산구 서계동 232-8,,대,10.20
203,토지,일반재산,서울특별시 용산구 서계동 232-16,,대,5.30
204,토지,행정재산,서울특별시 용산구 서계동 232-18,,도로,1.30
205,토지,행정재산,서울특별시 용산구 서계동 232-19,,도로,2.60
206,토지,행정재산,서울특별시 용산구 서계동 232-22,,도로,6.60
207,토지,행정재산,서울특별시 용산구 서계동 232-23,,도로,8.10
208,토지,일반재산,서울특별시 용산구 서계동 232-24,,대,0.30
209,토지,행정재산,서울특별시 용산구 서계동 232-25,,대,0.30
210,토지,행정재산,서울특별시 용산구 서계동 232-46,,도로,15.00
211,토지,행정재산,서울특별시 용산구 서계동 234-9,,도로,48.60
212,토지,일반재산,서울특별시 용산구 서계동 234-20,,대,2.60
213,토지,일반재산,서울특별시 용산구 서계동 234-24,,대,0.30
214,토지,행정재산,서울특별시 용산구 서계동 237-22,,도로,14.50
215,토지,일반재산,서울특별시 용산구 서계동 237-28,,대,0.70
216,토지,일반재산,서울특별시 용산구 서계동 238-65,,대,5.30
217,토지,일반재산,서울특별시 용산구 서계동 260-12,,대,29.80
218,토지,일반재산,서울특별시 용산구 서계동 260-13,,대,46.50
219,토지,일반재산,서울특별시 용산구 서계동 260-15,,대,4.20
220,토지,일반재산,서울특별시 용산구 서계동 260-19,,대,0.60
221,토지,행정재산,서울특별시 용산구 서계동 260-28,,도로,17.50
222,토지,행정재산,서울특별시 용산구 서계동 260-30,,도로,8.30
223,토지,일반재산,서울특별시 용산구 서계동 260-31,,도로,8.30
224,토지,일반재산,서울특별시 용산구 서계동 260-45,,대,0.40
225,토지,일반재산,서울특별시 용산구 서계동 260-46,,도로,3.70
226,토지,일반재산,서울특별시 용산구 서계동 260-48,,대,0.90
227,토지,일반재산,서울특별시 용산구 서계동 260-49,,도로,0.80
228,토지,일반재산,서울특별시 용산구 서계동 262-4,,대,3.70
229,토지,일반재산,서울특별시 용산구 서계동 262-11,,도로,45.90
230,토지,행정재산,서울특별시 용산구 서계동 265-24,,도로,6.60
231,토지,행정재산,서울특별시 용산구 서계동 265-25,,도로,13.20
232,토지,일반재산,서울특별시 용산구 서계동 259-9,,도로,7.90
233,토지,일반재산,서울특별시 용산구 서계동 259-8,,도로,7.00
234,토지,행정재산,서울특별시 용산구 서계동 259-7,,도로,207.90
235,토지,일반재산,서울특별시 용산구 서계동 238-66,,대,21.20
236,토지,일반재산,서울특별시 용산구 서계동 238-68,,대,11.60
237,토지,행정재산,서울특별시 용산구 서계동 238-70,,대,22.80
238,토지,일반재산,서울특별시 용산구 서계동 239-10,,대,16.20
239,토지,일반재산,서울특별시 용산구 서계동 239-14,,도로,6.60
240,토지,일반재산,서울특별시 용산구 서계동 239-16,,도로,6.60
241,토지,일반재산,서울특별시 용산구 서계동 239-17,,도로,218.80
242,토지,일반재산,서울특별시 용산구 서계동 239-26,,대,1.00
243,토지,일반재산,서울특별시 용산구 서계동 239-32,,대,7.80
244,토지,일반재산,서울특별시 용산구 서계동 242-19,,대,11.50
245,토지,일반재산,서울특별시 용산구 서계동 242-29,,대,3.60
246,토지,행정재산,서울특별시 용산구 서계동 242-30,,대,33.40
247,토지,행정재산,서울특별시 용산구 서계동 246-57,,대,16.50
248,토지,일반재산,서울특별시 용산구 서계동 247-46,,도로,39.70
249,토지,일반재산,서울특별시 용산구 서계동 248-1,,대,46.30
250,토지,행정재산,서울특별시 용산구 서계동 229-13,,도로,6.30
251,토지,행정재산,서울특별시 용산구 서계동 229-1,,도로,6.60
252,토지,행정재산,서울특별시 용산구 서계동 217-20,,도로,22.10
253,토지,행정재산,서울특별시 용산구 서계동 217-60,,도로,9.90
254,토지,일반재산,서울특별시 용산구 서계동 217-61,,도로,2.00
255,토지,행정재산,서울특별시 용산구 서계동 217-63,,도로,13.20
256,토지,행정재산,서울특별시 용산구 서계동 217-67,,도로,16.20
257,토지,일반재산,서울특별시 용산구 서계동 217-69,,도로,207.30
258,토지,행정재산,서울특별시 용산구 서계동 218-1,,도로,607.60
259,토지,일반재산,서울특별시 용산구 서계동 219-35,,도로,1.30
260,토지,행정재산,서울특별시 용산구 서계동 220-21,,하천,747.40
261,토지,행정재산,서울특별시 용산구 서계동 220-22,,도로,770.60
262,토지,일반재산,서울특별시 용산구 서계동 223-30,,철도용지,23.80
263,토지,일반재산,서울특별시 용산구 서계동 223-80,,철도용지,11.60
264,토지,일반재산,서울특별시 용산구 서계동 223-100,,철도용지,13.60
265,토지,일반재산,서울특별시 용산구 서계동 224-14,,철도용지,61.00
266,토지,행정재산,서울특별시 용산구 서계동 224-15,,철도용지,2.00
267,토지,행정재산,서울특별시 용산구 서계동 217-18,,도로,56.50
268,토지,행정재산,서울특별시 용산구 서계동 217-2,,도로,"2,648.90"
269,토지,행정재산,서울특별시 용산구 서계동 217-1,,하천,983.80
270,토지,행정재산,서울특별시 용산구 서계동 100-34,,도로,57.40
271,토지,일반재산,서울특별시 용산구 서계동 102-2,,대,50.60
272,토지,일반재산,서울특별시 용산구 서계동 106-2,,도로,103.20
273,토지,일반재산,서울특별시 용산구 서계동 107-4,,대,1.60
274,토지,행정재산,서울특별시 용산구 서계동 130-1,,도로,453.60
275,토지,행정재산,서울특별시 용산구 서계동 132-1,,하천,78.00
276,토지,행정재산,서울특별시 용산구 서계동 139-1,,하천,231.40
277,토지,행정재산,서울특별시 용산구 서계동 144-2,,하천,453.90
278,토지,행정재산,서울특별시 용산구 서계동 178-2,,하천,"1,791.10"
279,토지,행정재산,서울특별시 용산구 서계동 182-3,,도로,"1,603.60"
280,토지,일반재산,서울특별시 용산구 서계동 194-6,,도로,3.10
281,토지,일반재산,서울특별시 용산구 서계동 212-4,,대,4.00
282,토지,일반재산,서울특별시 용산구 서계동 212-8,,대,31.60
283,토지,일반재산,서울특별시 용산구 서계동 212-11,,대,0.90
284,토지,일반재산,서울특별시 용산구 서계동 212-13,,도로,15.40
285,토지,일반재산,서울특별시 용산구 서계동 224-16,,공원,0.40
286,토지,행정재산,서울특별시 용산구 서계동 224-18,,공원,218.20
287,토지,일반재산,서울특별시 용산구 서계동 224-19,,공원,187.40
288,토지,일반재산,서울특별시 용산구 서계동 228-17,,공원,129.90
289,토지,일반재산,서울특별시 용산구 서계동 228-18,,공원,172.30
290,토지,일반재산,서울특별시 용산구 서계동 228-19,,공원,92.60
291,토지,일반재산,서울특별시 용산구 서계동 228-20,,공원,131.20
292,토지,일반재산,서울특별시 용산구 서계동 228-21,,공원,45.30
293,토지,일반재산,서울특별시 용산구 서계동 228-22,,공원,32.10
294,토지,일반재산,서울특별시 용산구 서계동 228-23,,공원,20.80
295,토지,일반재산,서울특별시 용산구 서계동 228-24,,공원,27.20
296,토지,일반재산,서울특별시 용산구 서계동 228-25,,공원,25.20
297,토지,일반재산,서울특별시 용산구 서계동 228-26,,공원,30.70
298,토지,일반재산,서울특별시 용산구 서계동 228-32,,공원,2.60
299,토지,일반재산,서울특별시 용산구 서계동 228-33,,공원,21.10
300,토지,일반재산,서울특별시 용산구 서계동 228-34,,공원,6.20
301,토지,일반재산,서울특별시 용산구 서계동 228-43,,공원,62.20
302,토지,일반재산,서울특별시 용산구 서계동 228-44,,공원,40.10
303,토지,일반재산,서울특별시 용산구 서계동 228-16,,공원,10.90
304,토지,일반재산,서울특별시 용산구 서계동 228-15,,공원,66.00
305,토지,일반재산,서울특별시 용산구 서계동 228-11,,공원,7.90
306,토지,행정재산,서울특별시 용산구 서계동 224-33,,도로,363.00
307,토지,행정재산,서울특별시 용산구 서계동 224-34,,하천,330.20
308,토지,행정재산,서울특별시 용산구 서계동 224-35,,하천,13.60
309,토지,행정재산,서울특별시 용산구 서계동 224-36,,도로,614.20
310,토지,일반재산,서울특별시 용산구 서계동 224-56,,철도용지,5.10
311,토지,행정재산,서울특별시 용산구 서계동 224-57,,철도용지,6.30
312,토지,일반재산,서울특별시 용산구 서계동 224-58,,공원,39.10
313,토지,행정재산,서울특별시 용산구 서계동 225-1,,도로,201.30
314,토지,일반재산,서울특별시 용산구 서계동 226-3,,공원,"1,142.50"
315,토지,일반재산,서울특별시 용산구 서계동 226-4,,철도용지,194.40
316,토지,행정재산,서울특별시 용산구 서계동 226-5,,도로,63.80
317,토지,일반재산,서울특별시 용산구 서계동 226-20,,철도용지,176.20
318,토지,일반재산,서울특별시 용산구 서계동 227-5,,공원,1.60
319,토지,일반재산,서울특별시 용산구 서계동 227-6,,공원,56.10
320,토지,일반재산,서울특별시 용산구 서계동 227-7,,공원,87.30
321,토지,행정재산,서울특별시 용산구 동자동 14-3,,도로,"1,257.20"
322,토지,일반재산,서울특별시 용산구 동자동 9-15,,대,49.65
323,토지,일반재산,서울특별시 용산구 동자동 7-28,,대,3.00
324,토지,행정재산,서울특별시 용산구 갈월동 65-9,,도로,109.10
325,토지,행정재산,서울특별시 용산구 갈월동 65-6,,대,7.00
326,토지,행정재산,서울특별시 용산구 갈월동 65-3,,도로,16.50
327,토지,일반재산,서울특별시 용산구 갈월동 61,,도로,4.30
328,토지,일반재산,서울특별시 용산구 갈월동 57-11,,대,2.80
329,토지,일반재산,서울특별시 용산구 갈월동 57-10,,도로,0.90
330,토지,일반재산,서울특별시 용산구 갈월동 57-1,,도로,32.10
331,토지,일반재산,서울특별시 용산구 갈월동 55-3,,대,1.60
332,토지,일반재산,서울특별시 용산구 갈월동 53-37,,대,15.60
333,토지,행정재산,서울특별시 용산구 갈월동 53-26,,도로,4.60
334,토지,행정재산,서울특별시 용산구 갈월동 53-25,,도로,74.40
335,토지,일반재산,서울특별시 용산구 갈월동 53-12,,대,9.80
336,토지,행정재산,서울특별시 용산구 갈월동 53-7,,도로,16.30
337,토지,일반재산,서울특별시 용산구 갈월동 52-34,,도로,3.10
338,토지,행정재산,서울특별시 용산구 갈월동 52-30,,도로,9.90
339,토지,일반재산,서울특별시 용산구 갈월동 52-12,,대,30.90
340,토지,행정재산,서울특별시 용산구 갈월동 51-18,,도로,26.80
341,토지,행정재산,서울특별시 용산구 갈월동 51-9,,도로,26.80
342,토지,일반재산,서울특별시 용산구 갈월동 50-15,,대,0.87
343,토지,일반재산,서울특별시 용산구 갈월동 45-15,,대,6.90
