시설종류,기준,게이트_WKT
학교,폴리곤50m,"POLYGON ((126.981571 37.546887, 126.981623 37.546876, 126.981675 37.54686, 126.981725 37.546841, 126.981772 37.546818, 126.981816 37.546791, 126.981856 37.546761, 126.981893 37.546728, 126.981925 37.546692, 126.981953 37.546654, 126.981976 37.546614, 126.981994 37.546572, 126.982033 37.546465, 126.982034 37.546465, 126.982036 37.54646, 126.982049 37.546415, 126.982056 37.54637, 126.982058 37.546325, 126.982054 37.54628, 126.982044 37.546235, 126.982028 37.546191, 126.982007 37.546149, 126.981981 37.546108, 126.98195 37.54607, 126.981914 37.546035, 126.981874 37.546003, 126.98183 37.545974, 126.981783 37.545948, 126.981733 37.545927, 126.98168 37.54591, 126.981625 37.545897, 126.981569 37.545888, 126.981559 37.545887, 126.981553 37.545887, 126.981236 37.545855, 126.981074 37.545834, 126.981058 37.545833, 126.980662 37.545792, 126.980607 37.545788, 126.980552 37.545789, 126.980498 37.545794, 126.980445 37.545803, 126.980392 37.545816, 126.980342 37.545833, 126.980294 37.545854, 126.980249 37.545878, 126.980207 37.545906, 126.980168 37.545937, 126.980134 37.545971, 126.980103 37.546007, 126.980077 37.546046, 126.980056 37.546086, 126.98004 37.546128, 126.98003 37.54617, 126.980024 37.546214, 126.980024 37.546257, 126.980029 37.546301, 126.980039 37.546344, 126.980054 37.546385, 126.980074 37.546426, 126.9801 37.546465, 126.980129 37.546501, 126.980163 37.546535, 126.980201 37.546567, 126.980243 37.546595, 126.980389 37.546685, 126.980486 37.546762, 126.980538 37.546812, 126.980578 37.546845, 126.980622 37.546875, 126.980669 37.546902, 126.98072 37.546924, 126.980773 37.546943, 126.980828 37.546956, 126.980885 37.546966, 126.980942 37.54697, 126.980957 37.546971, 126.981045 37.546974, 126.981119 37.546973, 126.981208 37.546968, 126.981215 37.546967, 126.981292 37.546961, 126.981356 37.546954, 126.981418 37.54694, 126.981477 37.546921, 126.981571 37.546887))"
학교,폴리곤50m,"POLYGON ((126.980943 37.546295, 126.980936 37.546339, 126.980934 37.546383, 126.980937 37.546427, 126.980946 37.546471, 126.980961 37.546514, 126.98098 37.546555, 126.981005 37.546595, 126.981034 37.546633, 126.981068 37.546668, 126.981107 37.5467, 126.981148 37.546729, 126.981194 37.546755, 126.981242 37.546777, 126.981293 37.546795, 126.981346 37.54681, 126.9814 37.546819, 126.981455 37.546825, 126.981468 37.546826, 126.981522 37.546827, 126.981577 37.546824, 126.98163 37.546817, 126.981683 37.546806, 126.981734 37.546791, 126.981783 37.546772, 126.981829 37.54675, 126.981873 37.546724, 126.981913 37.546695, 126.981949 37.546663, 126.981982 37.546628, 126.98201 37.546591, 126.982034 37.546552, 126.982052 37.546511, 126.982066 37.54647, 126.982068 37.546463, 126.982076 37.546419, 126.98208 37.546375, 126.982078 37.546331, 126.98207 37.546287, 126.982057 37.546244, 126.982039 37.546202, 126.982015 37.546161, 126.981987 37.546123, 126.981954 37.546087, 126.981917 37.546054, 126.981876 37.546024, 126.981832 37.545998, 126.981784 37.545975, 126.981734 37.545955, 126.981681 37.54594, 126.981669 37.545937, 126.981614 37.545926, 126.981559 37.545919, 126.981503 37.545917, 126.981447 37.545919, 126.981391 37.545925, 126.981336 37.545936, 126.981284 37.545952, 126.981233 37.545971, 126.981185 37.545994, 126.98114 37.546021, 126.981098 37.546051, 126.981061 37.546084, 126.981028 37.546121, 126.981 37.546159, 126.980976 37.5462, 126.980958 37.546242, 126.980945 37.546286, 126.980943 37.546295))"
학교,폴리곤50m,"POLYGON ((126.980973 37.547029, 126.981016 37.547036, 126.98106 37.54704, 126.981091 37.547042, 126.981121 37.547043, 126.981144 37.547043, 126.981201 37.547042, 126.981264 37.547038, 126.981312 37.547033, 126.981359 37.547025, 126.981406 37.547014, 126.981412 37.547013, 126.981476 37.546997, 126.981504 37.546989, 126.981526 37.546983, 126.981607 37.54696, 126.981635 37.546951, 126.981691 37.546933, 126.981745 37.546912, 126.981796 37.546887, 126.981844 37.546858, 126.981887 37.546825, 126.981926 37.546789, 126.98196 37.54675, 126.981966 37.546741, 126.981995 37.546698, 126.982018 37.546652, 126.982034 37.546605, 126.982044 37.546556, 126.982059 37.546443, 126.982064 37.546426, 126.982072 37.546383, 126.982075 37.54634, 126.982073 37.546296, 126.982065 37.546254, 126.982053 37.546211, 126.982035 37.546171, 126.982013 37.546131, 126.981986 37.546094, 126.981954 37.546058, 126.981919 37.546026, 126.981879 37.545996, 126.981837 37.545969, 126.981791 37.545946, 126.981743 37.545926, 126.981692 37.54591, 126.98164 37.545898, 126.981586 37.54589, 126.981569 37.545888, 126.981515 37.545884, 126.981462 37.545885, 126.981408 37.545889, 126.981355 37.545897, 126.981304 37.54591, 126.981254 37.545926, 126.981206 37.545946, 126.981161 37.545969, 126.981119 37.545996, 126.981081 37.546025, 126.981046 37.546058, 126.981033 37.546072, 126.981013 37.546071, 126.980998 37.54607, 126.980943 37.54607, 126.980889 37.546075, 126.980835 37.546083, 126.980783 37.546095, 126.980732 37.546112, 126.980684 37.546132, 126.980638 37.546155, 126.980596 37.546183, 126.980556 37.546213, 126.980521 37.546246, 126.98049 37.546282, 126.980463 37.54632, 126.980441 37.54636, 126.980424 37.546401, 126.980413 37.546444, 126.980406 37.546487, 126.980404 37.54653, 126.980408 37.546574, 126.980417 37.546616, 126.980432 37.546658, 126.980451 37.546699, 126.980475 37.546738, 126.98049 37.54676, 126.980494 37.546766, 126.980523 37.546804, 126.980557 37.546838, 126.980594 37.54687, 126.980635 37.546899, 126.980662 37.546917, 126.980702 37.54694, 126.980744 37.54696, 126.98078 37.546976, 126.980826 37.546994, 126.980874 37.547009, 126.980923 37.54702, 126.980973 37.547029))"
학교,폴리곤50m,"POLYGON ((126.975769 37.546194, 126.975715 37.546203, 126.975663 37.546216, 126.975612 37.546234, 126.975564 37.546255, 126.975519 37.54628, 126.975477 37.546308, 126.975438 37.54634, 126.975404 37.546374, 126.975374 37.546411, 126.975348 37.54645, 126.975328 37.546491, 126.975312 37.546533, 126.975302 37.546576, 126.975297 37.54662, 126.975298 37.546664, 126.975304 37.546707, 126.975315 37.54675, 126.975331 37.546792, 126.975352 37.546833, 126.975379 37.546871, 126.975409 37.546908, 126.975445 37.546941, 126.975484 37.546972, 126.975526 37.547, 126.975572 37.547025, 126.975621 37.547045, 126.975672 37.547062, 126.975725 37.547075, 126.975779 37.547083, 126.975909 37.547099, 126.975911 37.547099, 126.976004 37.54711, 126.97606 37.547114, 126.976117 37.547114, 126.976173 37.54711, 126.976228 37.547101, 126.976282 37.547087, 126.976333 37.54707, 126.976383 37.547048, 126.97654 37.546971, 126.976586 37.546946, 126.976629 37.546917, 126.976668 37.546886, 126.976703 37.546851, 126.976733 37.546814, 126.976758 37.546775, 126.976779 37.546733, 126.976795 37.546691, 126.976805 37.546647, 126.976809 37.546603, 126.976809 37.546559, 126.976802 37.546515, 126.976791 37.546471, 126.976774 37.546429, 126.976752 37.546388, 126.976725 37.54635, 126.976693 37.546313, 126.976657 37.546279, 126.976617 37.546249, 126.976574 37.546221, 126.976527 37.546197, 126.976477 37.546177, 126.976425 37.546161, 126.976372 37.546148, 126.976317 37.54614, 126.976262 37.546137, 126.976206 37.546138, 126.976151 37.546143, 126.975769 37.546194))"
학교,폴리곤50m,"POLYGON ((126.976191 37.545733, 126.976186 37.545734, 126.976135 37.54575, 126.976086 37.545771, 126.97604 37.545796, 126.975997 37.545824, 126.975958 37.545855, 126.975923 37.545889, 126.975892 37.545925, 126.975866 37.545964, 126.975844 37.546005, 126.975828 37.546047, 126.975817 37.54609, 126.975809 37.546129, 126.975782 37.546264, 126.975781 37.54627, 126.975768 37.546341, 126.975754 37.54641, 126.975752 37.546419, 126.975738 37.546498, 126.975733 37.546542, 126.975734 37.546586, 126.97574 37.54663, 126.975751 37.546674, 126.975768 37.546716, 126.97579 37.546757, 126.975816 37.546796, 126.975847 37.546832, 126.975883 37.546866, 126.975923 37.546897, 126.975966 37.546925, 126.976013 37.546949, 126.976062 37.546969, 126.976113 37.546986, 126.976167 37.546998, 126.976221 37.547007, 126.976277 37.547011, 126.976332 37.54701, 126.976388 37.547005, 126.976442 37.546996, 126.976495 37.546983, 126.976546 37.546965, 126.976595 37.546944, 126.976599 37.546942, 126.976645 37.546917, 126.976687 37.546889, 126.976725 37.546858, 126.97676 37.546824, 126.97679 37.546788, 126.976815 37.546749, 126.976836 37.546709, 126.976852 37.546667, 126.976863 37.546625, 126.976877 37.54655, 126.976877 37.546547, 126.976885 37.546542, 126.976925 37.546514, 126.976963 37.546483, 126.976996 37.546449, 126.977003 37.546441, 126.977012 37.546436, 126.977053 37.546407, 126.97709 37.546376, 126.977124 37.546342, 126.977153 37.546305, 126.977177 37.546266, 126.977197 37.546226, 126.977212 37.546184, 126.977213 37.546181, 126.977223 37.546138, 126.977227 37.546093, 126.977226 37.546049, 126.977219 37.546004, 126.977207 37.545961, 126.97719 37.545918, 126.977167 37.545878, 126.97714 37.545839, 126.977107 37.545802, 126.977071 37.545769, 126.97703 37.545738, 126.976986 37.545711, 126.976939 37.545687, 126.976888 37.545667, 126.976836 37.545651, 126.976782 37.54564, 126.976693 37.545624, 126.976637 37.545617, 126.976581 37.545614, 126.976524 37.545615, 126.976468 37.545621, 126.976413 37.545632, 126.97636 37.545647, 126.976309 37.545666, 126.97626 37.545689, 126.976215 37.545715, 126.976191 37.545733))"
학교,폴리곤50m,"POLYGON ((126.974888 37.546863, 126.975087 37.546937, 126.975104 37.546943, 126.97519 37.546973, 126.97524 37.546987, 126.975273 37.547002, 126.975326 37.54702, 126.975382 37.547034, 126.975438 37.547043, 126.975779 37.547083, 126.975838 37.547088, 126.975897 37.547088, 126.975956 37.547082, 126.976337 37.547032, 126.976391 37.547022, 126.976442 37.547009, 126.976493 37.546992, 126.97654 37.546971, 126.976595 37.546944, 126.976641 37.546919, 126.976683 37.546891, 126.976722 37.546859, 126.976757 37.546825, 126.976787 37.546788, 126.976813 37.546749, 126.976833 37.546708, 126.976849 37.546666, 126.976859 37.546623, 126.976872 37.546552, 126.976893 37.546548, 126.976947 37.546532, 126.976998 37.546512, 126.977047 37.546488, 126.977092 37.546461, 126.977134 37.546429, 126.977172 37.546395, 126.977204 37.546358, 126.977232 37.546318, 126.977255 37.546276, 126.977273 37.546233, 126.977285 37.546189, 126.977305 37.546091, 126.977307 37.546074, 126.977308 37.546069, 126.977316 37.546035, 126.977319 37.546016, 126.977319 37.546016, 126.977327 37.545977, 126.977328 37.545973, 126.977346 37.545883, 126.977353 37.54584, 126.977354 37.545797, 126.97735 37.545754, 126.97734 37.545711, 126.977326 37.54567, 126.977307 37.545629, 126.977283 37.54559, 126.977254 37.545554, 126.977221 37.545519, 126.977184 37.545488, 126.977144 37.545459, 126.9771 37.545433, 126.977053 37.545411, 126.977004 37.545393, 126.976953 37.545378, 126.9769 37.545368, 126.976573 37.545315, 126.976424 37.545291, 126.976408 37.545288, 126.976247 37.545265, 126.976233 37.545263, 126.976164 37.545255, 126.976158 37.545254, 126.975938 37.545229, 126.975832 37.545214, 126.975721 37.545198, 126.975716 37.545197, 126.975425 37.545157, 126.975276 37.545136, 126.975224 37.545131, 126.975171 37.545129, 126.975118 37.545132, 126.975066 37.545138, 126.975015 37.545148, 126.975008 37.54515, 126.974949 37.545167, 126.974893 37.545189, 126.974841 37.545215, 126.97481 37.545233, 126.974766 37.545261, 126.974726 37.545291, 126.97469 37.545325, 126.974659 37.545361, 126.974632 37.5454, 126.97461 37.545441, 126.974593 37.545483, 126.974581 37.545526, 126.97456 37.545627, 126.974557 37.545642, 126.974524 37.545846, 126.974522 37.545854, 126.974519 37.545868, 126.974494 37.545993, 126.97449 37.546016, 126.974489 37.546023, 126.974431 37.546343, 126.974426 37.546387, 126.974426 37.54643, 126.974431 37.546474, 126.974442 37.546516, 126.974458 37.546558, 126.974478 37.546598, 126.974504 37.546637, 126.974534 37.546673, 126.974568 37.546707, 126.974606 37.546738, 126.974648 37.546766, 126.974693 37.546791, 126.974741 37.546812, 126.974754 37.546817, 126.974764 37.546821, 126.974824 37.546843, 126.974888 37.546863))"
학교,폴리곤50m,"POLYGON ((126.975416 37.547475, 126.975414 37.547498, 126.975411 37.54754, 126.975414 37.547582, 126.975421 37.547624, 126.975441 37.547705, 126.97545 37.547738, 126.975463 37.54777, 126.975489 37.547829, 126.975508 37.547867, 126.975532 37.547904, 126.97556 37.547939, 126.975582 37.547964, 126.975595 37.54798, 126.975615 37.548005, 126.97562 37.548011, 126.975651 37.548049, 126.975687 37.548083, 126.975727 37.548115, 126.97577 37.548143, 126.975775 37.548146, 126.975818 37.548169, 126.975863 37.548188, 126.97591 37.548204, 126.975958 37.548217, 126.976008 37.548226, 126.976059 37.548232, 126.976124 37.548237, 126.976524 37.54827, 126.976876 37.5483, 126.976932 37.548303, 126.976987 37.548301, 126.977042 37.548295, 126.977097 37.548285, 126.977149 37.54827, 126.977199 37.548252, 126.977247 37.548229, 126.977292 37.548203, 126.977334 37.548174, 126.977356 37.548156, 126.977388 37.548133, 126.977391 37.548132, 126.977447 37.548091, 126.977498 37.548055, 126.977525 37.548039, 126.977533 37.548034, 126.977564 37.548014, 126.9776 37.54799, 126.977632 37.547964, 126.977635 37.547961, 126.977635 37.547961, 126.977647 37.54795, 126.977667 37.547934, 126.977676 37.547927, 126.977728 37.547882, 126.977764 37.547847, 126.977796 37.54781, 126.977823 37.547771, 126.977845 37.54773, 126.977861 37.547687, 126.977873 37.547643, 126.977881 37.547601, 126.977883 37.54759, 126.977895 37.547508, 126.977916 37.54749, 126.977949 37.547455, 126.977978 37.547418, 126.978002 37.547378, 126.978021 37.547337, 126.978034 37.547294, 126.978043 37.547251, 126.978055 37.547161, 126.978058 37.547124, 126.978057 37.547087, 126.978056 37.547067, 126.978054 37.547048, 126.978051 37.54703, 126.978044 37.546993, 126.978034 37.546956, 126.978023 37.546926, 126.978003 37.546878, 126.977975 37.546831, 126.977941 37.546787, 126.977926 37.54677, 126.977908 37.546751, 126.977839 37.546681, 126.977815 37.546659, 126.977748 37.5466, 126.977736 37.546579, 126.977706 37.546539, 126.977657 37.546481, 126.977617 37.546435, 126.977586 37.546401, 126.97755 37.54637, 126.977512 37.546342, 126.977469 37.546317, 126.977425 37.546294, 126.977377 37.546276, 126.977328 37.546261, 126.977278 37.546249, 126.977226 37.546242, 126.977123 37.546231, 126.977116 37.54623, 126.977113 37.546229, 126.977075 37.546225, 126.977063 37.546223, 126.976753 37.546189, 126.976714 37.546186, 126.976703 37.546185, 126.976607 37.546173, 126.976607 37.546173, 126.976407 37.54615, 126.976353 37.546145, 126.976298 37.546145, 126.976244 37.546149, 126.976191 37.546157, 126.976139 37.546169, 126.976088 37.546186, 126.97604 37.546205, 126.975995 37.546229, 126.975952 37.546256, 126.975886 37.546302, 126.975778 37.546376, 126.975733 37.546412, 126.975718 37.546425, 126.975685 37.546456, 126.975656 37.546489, 126.975631 37.546524, 126.97561 37.546561, 126.975593 37.5466, 126.975581 37.546639, 126.975547 37.546769, 126.975545 37.546776, 126.975545 37.546777, 126.975526 37.546817, 126.975511 37.546859, 126.975501 37.546902, 126.9755 37.546911, 126.975495 37.546956, 126.975496 37.546978, 126.975473 37.547049, 126.975461 37.547099, 126.975456 37.54715, 126.975454 37.547214, 126.975434 37.547256, 126.975419 37.5473, 126.97541 37.547345, 126.975407 37.54739, 126.975409 37.547435, 126.975416 37.547475))"
학교,폴리곤50m,"POLYGON ((126.975765 37.548114, 126.97581 37.548139, 126.975858 37.54816, 126.975908 37.548177, 126.97596 37.548191, 126.976014 37.5482, 126.976068 37.548205, 126.976123 37.548206, 126.976178 37.548202, 126.976232 37.548195, 126.976284 37.548183, 126.976336 37.548167, 126.976384 37.548148, 126.976431 37.548124, 126.976474 37.548098, 126.976488 37.548089, 126.976528 37.548058, 126.976564 37.548025, 126.976596 37.54799, 126.976623 37.547952, 126.976646 37.547912, 126.976664 37.54787, 126.976676 37.547827, 126.976684 37.547784, 126.976686 37.54774, 126.976682 37.547696, 126.976673 37.547653, 126.976659 37.54761, 126.97664 37.547569, 126.976616 37.54753, 126.976587 37.547492, 126.976554 37.547457, 126.976517 37.547425, 126.976476 37.547396, 126.976431 37.54737, 126.976384 37.547348, 126.976334 37.547329, 126.976282 37.547315, 126.976228 37.547304, 126.976174 37.547298, 126.976119 37.547296, 126.97609 37.547296, 126.976034 37.547298, 126.975978 37.547305, 126.975924 37.547316, 126.975871 37.547331, 126.97582 37.547351, 126.975772 37.547374, 126.975727 37.547401, 126.975686 37.547432, 126.975649 37.547466, 126.975616 37.547502, 126.975588 37.547541, 126.975564 37.547582, 126.975547 37.547624, 126.975534 37.547668, 126.975527 37.547713, 126.975526 37.547758, 126.97553 37.547802, 126.97554 37.547847, 126.975555 37.54789, 126.975576 37.547932, 126.975601 37.547971, 126.975632 37.548009, 126.975667 37.548044, 126.975706 37.548076, 126.97575 37.548105, 126.975765 37.548114))"
학교,폴리곤50m,"POLYGON ((126.9816 37.550246, 126.981573 37.550285, 126.981552 37.550327, 126.981535 37.55037, 126.981524 37.550414, 126.981519 37.550459, 126.981519 37.550504, 126.981525 37.550548, 126.981537 37.550592, 126.981554 37.550635, 126.981576 37.550676, 126.981603 37.550716, 126.981635 37.550753, 126.981672 37.550787, 126.981713 37.550818, 126.981753 37.550843, 126.981782 37.550865, 126.981826 37.550892, 126.981872 37.550915, 126.981922 37.550935, 126.981959 37.550948, 126.982074 37.550988, 126.982125 37.551003, 126.982179 37.551015, 126.982233 37.551022, 126.982288 37.551025, 126.982343 37.551024, 126.982398 37.551019, 126.982452 37.551009, 126.982504 37.550996, 126.982555 37.550978, 126.982603 37.550956, 126.982648 37.550931, 126.98269 37.550902, 126.982728 37.550871, 126.982762 37.550836, 126.982792 37.550799, 126.982871 37.550689, 126.982897 37.550649, 126.982918 37.550606, 126.982933 37.550562, 126.982942 37.550517, 126.982946 37.550472, 126.982944 37.550427, 126.982936 37.550382, 126.982923 37.550337, 126.982904 37.550294, 126.98288 37.550253, 126.98285 37.550214, 126.982816 37.550178, 126.982778 37.550144, 126.982735 37.550114, 126.982689 37.550087, 126.982639 37.550064, 126.982638 37.550064, 126.982539 37.550023, 126.982437 37.549979, 126.982389 37.54996, 126.982338 37.549945, 126.982286 37.549933, 126.982232 37.549926, 126.982179 37.549923, 126.982124 37.549924, 126.982071 37.549929, 126.982018 37.549938, 126.981966 37.549951, 126.981917 37.549968, 126.981869 37.549989, 126.981824 37.550013, 126.981783 37.550041, 126.981745 37.550071, 126.98171 37.550104, 126.98168 37.55014, 126.981611 37.550231, 126.9816 37.550246))"
학교,폴리곤50m,"POLYGON ((126.98105 37.551096, 126.981048 37.551113, 126.981047 37.551128, 126.981045 37.551153, 126.981044 37.5512, 126.981049 37.551246, 126.98106 37.551292, 126.981076 37.551337, 126.981099 37.55138, 126.981127 37.551421, 126.98116 37.551459, 126.981198 37.551495, 126.981384 37.551653, 126.981388 37.551656, 126.981393 37.55166, 126.981432 37.551694, 126.981552 37.551797, 126.981554 37.551799, 126.981744 37.551962, 126.981745 37.551962, 126.981812 37.552019, 126.981814 37.552021, 126.981833 37.552037, 126.981873 37.552068, 126.981918 37.552095, 126.981965 37.552119, 126.982015 37.552139, 126.982068 37.552155, 126.982122 37.552167, 126.982177 37.552175, 126.982233 37.552178, 126.982289 37.552176, 126.982345 37.552171, 126.9824 37.55216, 126.982453 37.552146, 126.982504 37.552127, 126.982552 37.552105, 126.982598 37.552079, 126.98264 37.552049, 126.982678 37.552016, 126.982712 37.55198, 126.982739 37.551945, 126.982828 37.551911, 126.982875 37.55189, 126.982919 37.551867, 126.982961 37.551839, 126.982999 37.551809, 126.983033 37.551776, 126.983063 37.551741, 126.983077 37.551722, 126.983094 37.551713, 126.983136 37.551685, 126.983175 37.551654, 126.98321 37.55162, 126.98324 37.551583, 126.983266 37.551545, 126.983327 37.551442, 126.983383 37.551387, 126.983416 37.551351, 126.983444 37.551312, 126.983467 37.551272, 126.983486 37.55123, 126.983498 37.551187, 126.983506 37.551143, 126.983508 37.551098, 126.983504 37.551054, 126.983495 37.55101, 126.983481 37.550967, 126.983461 37.550925, 126.983437 37.550885, 126.983407 37.550847, 126.983373 37.550812, 126.983335 37.55078, 126.983293 37.550751, 126.983281 37.550743, 126.983245 37.550723, 126.983146 37.55067, 126.983116 37.550655, 126.98304 37.55062, 126.98304 37.550619, 126.983014 37.550588, 126.983 37.550573, 126.982995 37.550551, 126.982979 37.550507, 126.982958 37.550465, 126.982931 37.550424, 126.9829 37.550386, 126.982874 37.550358, 126.982834 37.55032, 126.982789 37.550285, 126.98274 37.550255, 126.982687 37.550229, 126.98257 37.550178, 126.982528 37.550162, 126.982524 37.550161, 126.982495 37.550139, 126.982451 37.550112, 126.982404 37.550089, 126.982355 37.55007, 126.982303 37.550054, 126.98225 37.550043, 126.982196 37.550035, 126.982151 37.550031, 126.982151 37.550032, 126.982123 37.550029, 126.982067 37.550027, 126.982012 37.550031, 126.982005 37.550031, 126.981978 37.550007, 126.981939 37.549977, 126.981895 37.54995, 126.981849 37.549927, 126.9818 37.549907, 126.981748 37.549892, 126.981696 37.54988, 126.981642 37.549872, 126.981587 37.549869, 126.981532 37.54987, 126.981477 37.549875, 126.981424 37.549884, 126.981371 37.549897, 126.981321 37.549915, 126.981273 37.549936, 126.981228 37.549961, 126.981186 37.549989, 126.981147 37.55002, 126.981113 37.550054, 126.981083 37.55009, 126.981057 37.550129, 126.981036 37.55017, 126.981021 37.550212, 126.980989 37.550315, 126.980988 37.550317, 126.980975 37.55036, 126.980966 37.550399, 126.980949 37.550491, 126.980943 37.550536, 126.980939 37.550608, 126.980939 37.550649, 126.980944 37.550691, 126.98096 37.550783, 126.980971 37.550829, 126.981034 37.551034, 126.981043 37.551069, 126.981044 37.551071, 126.98105 37.551096))"
