정류소명,경도,위도,월평균승객수
순천향대학병원.한남오거리,127.005729,37.53549068,348246.2
순천향대학병원,127.0057302,37.53644224,296561
숙대입구역,126.9725378,37.54329563,291230.4
남산서울타워,126.9911948,37.55101447,272888
신용산역,126.9666192,37.52792049,246248.4
신용산역,126.966207,37.527293,243078
한강대교북단.LG유플러스,126.963121,37.52404994,180272.6
서울시기술교육원중부.블루스퀘어,127.0031508,37.54117915,179432.2
숙대입구역,126.9722321,37.54375602,170273.8
삼각지역.전쟁기념관,126.9741609,37.5359845,158992
삼각지역.전쟁기념관,126.9736858,37.53518014,157364
갈월동,126.9717082,37.54953372,153520
갈월동,126.9722373,37.5509756,151997.6
한남오거리,127.0083126,37.53284782,126269.6
한강대교북단.LG유플러스,126.9631848,37.52430606,113692.2
남영역.민주화운동기념관,126.9719272,37.54200692,110335.8
용산우체국,126.970235,37.53149701,110022.6
용산우체국,126.9705641,37.53205037,93826
한강중학교,126.9921715,37.52545875,85566.6
용산역,126.9658225,37.52886661,81080.8
남영역.민주화운동기념관,126.972069,37.541823,80945.8
효창공원앞역.이봉창역사울림관,126.9618971,37.53927197,80026.4
전쟁기념관,126.9753831,37.53465117,75129.2
만리동고개,126.9628216,37.55167001,72432.8
만리동고개,126.9626582,37.55178706,66174
용산구청,126.991163,37.530303,65100
해방촌오거리,126.9853965,37.54570295,64404.8
용산꿈나무종합타운,126.9672403,37.53848693,64328.2
용산꿈나무종합타운.보건분소,126.9649998,37.53842682,63294.2
해방촌오거리,126.9851475,37.54572995,61285.4
한강중학교,126.9924288,37.52450259,59623.8
이태원역.보광동입구,126.994227,37.53382242,59610.6
신용산역3번출구,126.9673498,37.52888957,58597.6
용산구청,126.9911699,37.52940958,58305.4
용암초등학교입구.이태원주공아파트,126.9886646,37.54411594,56857.4
서빙고역1번출구,126.9899502,37.52004642,55733.8
숙대역7번출구,126.9722968,37.54347578,53638.2
효창공원앞역.이봉창역사울림관,126.9626979,37.53882848,53353.6
