도로명주소,상권업종대분류명,경도,위도
서울특별시 용산구 보광로59길 10,숙박,126.9935057,37.53403862
서울특별시 용산구 한강대로 399,음식,126.9723523,37.55395666
서울특별시 용산구 두텁바위로 147,음식,126.9808747,37.55148961
서울특별시 용산구 녹사평대로 170,음식,126.989082,37.53348869
서울특별시 용산구 소월로38가길 5,음식,126.9901782,37.5432376
서울특별시 용산구 한강대로88길 6-1,음식,126.9727858,37.54437014
서울특별시 용산구 이태원로54길 31,음식,127.0019461,37.53703011
서울특별시 용산구 이태원로 160-1,음식,126.9917633,37.53416465
서울특별시 용산구 청파로 74,음식,126.9595641,37.5327885
서울특별시 용산구 한강대로 205,음식,126.9720643,37.53721603
서울특별시 용산구 효창원로 156,음식,126.9623087,37.5419706
서울특별시 용산구 소월로 108,소매,126.9812367,37.55210235
서울특별시 용산구 새창로 213,음식,126.9672699,37.5304663
서울특별시 용산구 소월로2다길 5,숙박,126.9779883,37.55356141
서울특별시 용산구 이태원로 166,음식,126.9923969,37.53420975
서울특별시 용산구 한강대로10길 11-76,음식,126.964942,37.5246812
서울특별시 용산구 새창로 116-5,음식,126.9604218,37.53683428
서울특별시 용산구 한강대로 52,음식,126.9646136,37.52537487
서울특별시 용산구 녹사평대로54길 23,음식,126.9886172,37.53915593
서울특별시 용산구 이촌로 319,음식,126.9823199,37.51795459
서울특별시 용산구 원효로56길 3,숙박,126.9629569,37.53560974
서울특별시 용산구 서빙고로 69,음식,126.9723522,37.52371008
서울특별시 용산구 이촌로88길 8,보건의료,126.9777612,37.51825115
서울특별시 용산구 이태원로27가길 9,음식,126.9947728,37.53496672
서울특별시 용산구 신흥로 94-2,음식,126.984882,37.54566073
서울특별시 용산구 두텁바위로35길 2,음식,126.9811927,37.54709279
서울특별시 용산구 이태원로 223-5,음식,126.9983934,37.5355795
서울특별시 용산구 청파로 289,음식,126.9701941,37.54537863
서울특별시 용산구 한강대로 365,음식,126.9718441,37.55104632
서울특별시 용산구 두텁바위로 147,음식,126.9808747,37.55148961
서울특별시 용산구 이촌로 62,음식,126.9557551,37.52639002
서울특별시 용산구 이태원로 143-7,음식,126.9895457,37.53449785
서울특별시 용산구 회나무로 74,음식,126.9947611,37.54040876
서울특별시 용산구 원효로97길 37,음식,126.9685773,37.54219768
서울특별시 용산구 이태원로 143-11,음식,126.9893647,37.5345609
서울특별시 용산구 청파로45길 18,음식,126.969674,37.54446849
서울특별시 용산구 대사관로31길 20,음식,127.0060191,37.53412875
서울특별시 용산구 회나무로 24-1,음식,126.9894432,37.53921908
서울특별시 용산구 후암로57길 3-2,음식,126.9742538,37.55316421
서울특별시 용산구 한남대로27길 66,음식,127.0029985,37.53959794
서울특별시 용산구 한강대로10길 11-48,음식,126.9647837,37.52449194
서울특별시 용산구 청파로47가길 9-4,음식,126.9669923,37.54425153
서울특별시 용산구 한강대로 112,음식,126.9682206,37.52961061
서울특별시 용산구 한강대로40가길 24,보건의료,126.9723042,37.53097215
서울특별시 용산구 한남대로21길 18,소매,127.0061662,37.5340927
서울특별시 용산구 이태원로 211,예술·스포츠,126.9972733,37.53499383
서울특별시 용산구 한강대로11길 25,음식,126.9622718,37.52547326
서울특별시 용산구 한강대로 130-3,음식,126.9699962,37.53101664
서울특별시 용산구 이태원로 211,소매,126.9972733,37.53499383
서울특별시 용산구 청파로 74,음식,126.9595641,37.5327885
서울특별시 용산구 서빙고로 237,음식,126.9899549,37.52071255
서울특별시 용산구 원효로 75,음식,126.9522553,37.53274973
서울특별시 용산구 한강대로 405,음식,126.9717295,37.55483949
서울특별시 용산구 청파로 267,음식,126.9705683,37.54343256
서울특별시 용산구 백범로87길 40,음식,126.968952,37.53902626
서울특별시 용산구 이태원로26길 17,음식,126.9934718,37.53371426
서울특별시 용산구 보광로 13,음식,127.0011087,37.52581265
서울특별시 용산구 백범로99길 54,음식,126.9724721,37.53590967
서울특별시 용산구 한강대로 95,음식,126.9666597,37.5288173
서울특별시 용산구 한강대로15길 19-2,음식,126.9630747,37.52601411
서울특별시 용산구 서빙고로 17,음식,126.96657,37.52690715
서울특별시 용산구 후암로 4,음식,126.9786921,37.54625444
서울특별시 용산구 한강대로 405,음식,126.9717295,37.55483949
서울특별시 용산구 한남대로 130,음식,127.0044355,37.53994027
서울특별시 용산구 청파로 271,예술·스포츠,126.9705456,37.54381098
서울특별시 용산구 이태원로54길 5,음식,127.0019348,37.53804824
서울특별시 용산구 청파로 293,음식,126.9701487,37.54580209
서울특별시 용산구 한남대로42가길 4,음식,127.0027497,37.54317491
서울특별시 용산구 한강대로46길 19,음식,126.9713878,37.53107104
서울특별시 용산구 원효로89길 7,예술·스포츠,126.9685441,37.54043171
서울특별시 용산구 대사관로24길 27,음식,127.005442,37.53251598
