facility_name,address,lat,lng,facility_type
세븐,서울특별시 용산구 용문동 8-77 지하1층동,37.5381864,126.9609644,노래연습장
데코,서울특별시 용산구 한강로1가 197 2층동,37.5338863,126.9738476,노래연습장
로데오노래연습장,서울특별시 용산구 한남동 634-1,37.5334416,127.0061583,노래연습장
한강노래연습장,서울특별시 용산구 한강로1가 152-1 지층,37.5343896,126.9739108,노래연습장
브라보 노래연습장,서울특별시 용산구 후암동 244-11 지하1층,37.5487107,126.9779391,노래연습장
보스노래연습장,서울특별시 용산구 이태원동 128-7 지하1층,37.5340916,126.9933848,노래연습장
싸이노래연습장,서울특별시 용산구 이태원동 225-94,37.5395557,126.989592,노래연습장
황금,서울특별시 용산구 남영동 61-3 2층,37.5434703,126.9728762,노래연습장
드림21,서울특별시 용산구 서계동 220-3,37.5544894,126.9687457,노래연습장
용산,서울특별시 용산구 한강로3가 40-152 2층동,37.5256952,126.9638396,노래연습장
무지개,서울특별시 용산구 후암동 105-70,37.5490833,126.9774136,노래연습장
오디션,서울특별시 용산구 보광동 257-1,37.5286196,126.9984743,노래연습장
연출,서울특별시 용산구 후암동 103-10 지층동,37.5500263,126.9765865,노래연습장
자기연출,서울특별시 용산구 용산동2가 1-1418 지층동,37.5462926,126.9819662,노래연습장
썸,서울특별시 용산구 한남동 641-3 지층,37.5331081,127.0054781,노래연습장
필,서울특별시 용산구 한강로3가 40-592 지층동,37.525913,126.9644209,노래연습장
퀸,서울특별시 용산구 청파동2가 71-75,37.5444534,126.9685389,노래연습장
민들레,서울특별시 용산구 한강로1가 196-1,37.534145,126.9739379,노래연습장
위아더월드,서울특별시 용산구 남영동 24-6,37.5440882,126.9726497,노래연습장
베토벤,서울특별시 용산구 원효로3가 35-3 지하1층동,37.5346959,126.9585714,노래연습장
나이스,서울특별시 용산구 이태원동 132-1 3층동,37.5338801,126.9954332,노래연습장
하모니,서울특별시 용산구 이촌동 301-139 3층동,37.5204115,126.9742766,노래연습장
2차노래연습장,서울특별시 용산구 원효로1가 12-20,37.5408604,126.9685391,노래연습장
노래마을,서울특별시 용산구 동자동 43-13 2층동,37.5516667,126.9719867,노래연습장
피노키오 노래연습장,서울특별시 용산구 동자동 19-40 지층동,37.5505832,126.9749817,노래연습장
GO래GO래 노래연습장,서울특별시 용산구 용문동 41-25 2층동,37.5365625,126.9599151,노래연습장
새로노래연습장,서울특별시 용산구 갈월동 90-10 2층동,37.5431211,126.9722006,노래연습장
카니발,서울특별시 용산구 원효로2가 1-38 2층동,37.5377312,126.9663542,노래연습장
한강,서울특별시 용산구 한남동 631-17 지층동,37.5324562,127.005653,노래연습장
제우스,서울특별시 용산구 대사관로 66 (한남동,37.5331559,127.0053236,단란주점
1차원,서울특별시 용산구 대사관로24길 6 (한남동,37.5331469,127.0043293,단란주점
퓨전,서울특별시 용산구 녹사평대로26길 24 (이태원동,37.5309437,126.9916835,단란주점
한,서울특별시 용산구 한남대로 55 (한남동,37.5336007,127.0070999,단란주점
왕소라,서울특별시 용산구 우사단로 37 (이태원동,37.53365,126.9954237,단란주점
유랑,서울특별시 용산구 한강대로15길 8-3,37.5260851,126.9639138,단란주점
와키노래타운(waki),서울특별시 용산구 이태원로 183-4,37.5348257,126.9945663,단란주점
내추럴8,서울특별시 용산구 청파로20길 95,37.5319203,126.9624423,단란주점
연예인,서울특별시 용산구 원효로41길 62 (원효로2가,37.5354236,126.9607592,단란주점
보스톤,서울특별시 용산구 이촌로54길 13 (이촌동,37.5206989,126.9677578,단란주점
이태원힐즈(ITAEWON HILLS),서울특별시 용산구 장문로 18 (동빙고동,37.5284333,126.9923555,단란주점
도쿄라이브러리,서울특별시 용산구 대사관로34길 25 (한남동,37.5320543,127.0059549,단란주점
스타노래짱,서울특별시 용산구 청파로47길 25 (청파동2가,37.5446862,126.9690453,단란주점
샤방샤방,서울특별시 용산구 원효로41길 60 (원효로2가,37.5353856,126.9606842,단란주점
사운드 노래주점,서울특별시 용산구 한강대로 276,37.5428751,126.9729067,단란주점
그랜드 하얏트 서울 파리스빠,서울특별시 용산구 소월로 322 (한남동,37.5395437,126.9978135,단란주점
딜라일라,서울특별시 용산구 대사관로24길 30 (한남동,37.5323164,127.0053712,단란주점
니키타,서울특별시 용산구 독서당로 89 (한남동,37.5347635,127.0102597,단란주점
샵노래바,서울특별시 용산구 청파로45길 20 (청파동3가,37.5444852,126.9695621,단란주점
하몬드,서울특별시 용산구 대사관로31길 17 (한남동,37.5340809,127.0057481,단란주점
호박,서울특별시 용산구 대사관로31길 12 (한남동,37.533874,127.005975,단란주점
체리바,서울특별시 용산구 보광로 39 (보광동,37.5276438,126.9993358,단란주점
보스노래,서울특별시 용산구 한강대로 258 (남영동,37.5414135,126.9733311,단란주점
울리불리,서울특별시 용산구 장문로 111-3 (보광동,37.5265798,127.0018301,단란주점
주식회사 핑서울,서울특별시 용산구 이태원로 195 (이태원동,37.5348252,126.9956687,단란주점
화,서울특별시 용산구 독서당로 86 (한남동,37.5342725,127.0101173,단란주점
후 라이브,서울특별시 용산구 대사관로31길 19 (한남동,37.5341807,127.0057568,단란주점
맘마미아,서울특별시 용산구 한남대로21길 14 (한남동,37.5343419,127.0061939,단란주점
탈렌트,서울특별시 용산구 한강대로62길 16 (한강로1가,37.5342094,126.973542,단란주점
블라인드피그,서울특별시 용산구 대사관로 62 (한남동,37.5331907,127.0049504,단란주점
청춘노래,서울특별시 용산구 새창로 115 (용문동,37.5371425,126.9607224,단란주점
대월,서울특별시 용산구 새창로 131 (원효로2가,37.5360128,126.9614411,단란주점
아리랑,서울특별시 용산구 원효로41길 21-1 (원효로3가,37.5347741,126.9586474,단란주점
빙고,서울특별시 용산구 원효로41길 15 (원효로3가,37.5345515,126.9583374,단란주점
힐탑,서울특별시 용산구 원효로41길 16 (원효로3가,37.5344028,126.9585579,단란주점
블랙다이아(Black dia),서울특별시 용산구 보광로60길 10 (이태원동,37.5338702,126.9947076,단란주점
궁,서울특별시 용산구 대사관로 60 (한남동,37.5332519,127.0047189,단란주점
모리(森),서울특별시 용산구 장문로 83-1 (보광동,37.5262192,126.9989834,단란주점
더클럽바,서울특별시 용산구 이촌로64길 26 (이촌동,37.5198531,126.9699155,단란주점
발리,서울특별시 용산구 한강대로 168-2 (한강로1가,37.5337073,126.9726828,단란주점
파티스테이션(P.S),서울특별시 용산구 독서당로 84 (한남동,37.5341511,127.009902,단란주점
퀸(QUEEN),서울특별시 용산구 보광로 124 (이태원동,37.5338459,126.9942957,단란주점
뉴서울가요주점,서울특별시 용산구 후암로 101 (동자동,37.5534072,126.9743427,단란주점
팡팡,서울특별시 용산구 한강대로 144 (한강로2가,37.5319327,126.9709308,단란주점
엘피,서울특별시 용산구 대사관로31길 29 (한남동,37.53465,127.005814,단란주점
스카이노래주점,서울특별시 용산구 원효로58길 31 (신계동,37.5349189,126.9636976,단란주점
타임,서울특별시 용산구 보광로 37-1 (보광동,37.5275803,126.9994274,단란주점
놀아줘,서울특별시 용산구 한강대로42길 3 (한강로2가,37.5309124,126.970026,단란주점
여보클럽,서울특별시 용산구 우사단로 46 (이태원동,37.534227,126.9958412,단란주점
(주)아울라운지,서울특별시 용산구 이태원로27가길 9 (이태원동,37.5349548,126.994769,단란주점
태평양단란주점,서울특별시 용산구 원효로 214 (원효로2가,37.537494,126.96574,단란주점
팡파르,서울특별시 용산구 한강대로 57 (한강로3가,37.5261378,126.9646297,단란주점
팅커벨,서울특별시 용산구 한강대로 298 (남영동,37.5449096,126.9723989,단란주점
옛정노래,서울특별시 용산구 한강대로11길 6 (한강로3가,37.5251032,126.9632627,단란주점
뉴욕,서울특별시 용산구 한강대로 306,37.5454824,126.972301,단란주점
샤인,서울특별시 용산구 대사관로34길 13,37.5325917,127.0062293,단란주점
오컴,서울특별시 용산구 대사관로 76,37.5330043,127.0064698,단란주점
칼라,서울특별시 용산구 원효로 171 (원효로2가,37.5356247,126.9617529,유흥주점
오페라,서울특별시 용산구 한강대로 166-1 (한강로1가,37.5335462,126.9725154,유흥주점
벅스노래바Q,서울특별시 용산구 한강대로 280-2 (남영동,37.5433931,126.9727659,유흥주점
황제,서울특별시 용산구 원효로 166 (원효로2가,37.5350236,126.9615765,유흥주점
팡팡노래뱅크,서울특별시 용산구 한강대로77길 21 (갈월동,37.5416242,126.9715529,유흥주점
싸이티로스,서울특별시 용산구 이촌로62길 9 (이촌동,37.520074,126.9694413,유흥주점
케이크샵,서울특별시 용산구 이태원로 134 (이태원동,37.533907,126.9888318,유흥주점
팔팔노래,서울특별시 용산구 새창로 131-6 (원효로2가,37.5357936,126.9617155,유흥주점
그레인 하우스(Grain Haus),서울특별시 용산구 우사단로 40 (이태원동,37.5336992,126.99585,유흥주점
유토피아,서울특별시 용산구 이태원로 지하 179 (이태원동,37.5347439,126.9938628,유흥주점
데이앤나이트,서울특별시 용산구 이태원로27가길 26 (이태원동,37.5351561,126.9935148,유흥주점
퀸,서울특별시 용산구 한강대로 353-4 (동자동,37.5499989,126.9715912,유흥주점
글램,서울특별시 용산구 이태원로27가길 26 (이태원동,37.5351561,126.9935148,유흥주점
002,서울특별시 용산구 한강대로 132 (한강로2가,37.5310738,126.9700762,유흥주점
탈렌트,서울특별시 용산구 한강대로 280-1 (남영동,37.5433627,126.9730083,유흥주점
스카이,서울특별시 용산구 새창로 132 (원효로2가,37.5356592,126.9612672,유흥주점
백악관,서울특별시 용산구 한강대로 353 (동자동,37.549824,126.971569,유흥주점
