"금연구역명","금연구역범위상세","시도명","시군구명","금연구역구분","금연구역지정근거명","금연구역면적","위반과태료","위반신고전화번호","소재지도로명주소","소재지지번주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","작업일시"
"꿀꿀이 마을","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-42","서울특별시 강북구청","37.62478867","127.018834","2026-02-10","","2026-06-07 10:57:02.0"
"메가엠지씨 삼양시장점","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 775-42","서울특별시 강북구청","37.62478867","127.018834","2026-02-10","","2026-06-07 10:57:02.0"
"심촌정육식당","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-158","서울특별시 강북구청","37.61532942","127.0310441","2026-02-10","","2026-06-07 10:57:02.0"
"떼루아","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-170","서울특별시 강북구청","37.61477631","127.0317195","2026-02-10","","2026-06-07 10:57:02.0"
"풍년상회 미아사거리직영점","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-171","서울특별시 강북구청","37.61479359","127.0316287","2026-02-10","","2026-06-07 10:57:02.0"
"과일에반하다프루타 미아점","시설전체","서울특별시","강북구","휴게음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-177","서울특별시 강북구청","37.61462121","127.0314837","2026-02-10","","2026-06-07 10:57:02.0"
"진미칼국수 수제등심돈까스","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-183","서울특별시 강북구청","37.61468789","127.0319246","2026-02-10","","2026-06-07 10:57:02.0"
"이치2고에 혼술집","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-18","서울특별시 강북구청","37.61453872","127.0324136","2026-02-10","","2026-06-07 10:57:02.0"
"착한국밥 2호점","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-206","서울특별시 강북구청","37.61449303","127.0312361","2026-02-10","","2026-06-07 10:57:02.0"
"옛맛감자국","시설전체","서울특별시","강북구","일반음식점                                                                                               ","국민건강증진법","1","100000","02-901-7682","","서울특별시 강북구 미아동 75-207","서울특별시 강북구청","37.61346549","127.0311928","2026-02-10","","2026-06-07 10:57:02.0"
