시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일
용산구,1ecec08c-ee46-b044-e053-0a32095ab044,강변유치원,유치원(사립(법인)),정상,,서울특별시 용산구 이촌로84길 9-7,,,,,,,,,,,37.518066,126.9766674,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-f024-b044-e053-0a32095ab044,서울한남초등학교병설유치원,유치원(공립(병설)),정상,,서울특별시 용산구 한남대로 112,,,,,,,,,,,37.5332447,127.008343,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-f04b-b044-e053-0a32095ab044,충신유치원,유치원(사립(사인)),정상,,서울특별시 용산구 이촌로71길 14,,,,,,,,,,,37.5209899,126.9727551,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-f48f-b044-e053-0a32095ab044,일민유치원,유치원(사립(사인)),정상,,서울특별시 용산구 효창원로 17,,,,,,,,,,,37.534433,126.950183,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-f913-b044-e053-0a32095ab044,원유치원,유치원(사립(사인)),정상,,서울특별시 용산구 이촌로81길 14,,,,,,,,,,,37.5199418,126.9767672,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-f932-b044-e053-0a32095ab044,유성유치원,유치원(사립(사인)),정상,,서울특별시 용산구 회나무로13가길 16,,,,,,,,,,,37.5409671,126.989946,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-fd8f-b044-e053-0a32095ab044,정우유치원,유치원(사립(법인)),정상,,서울특별시 용산구 원효로 179,,,,,,,,,,,37.5354634,126.9618637,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-fd90-b044-e053-0a32095ab044,한가람유치원,유치원(사립(사인)),정상,,서울특별시 용산구 이촌로89길 50,,,,,,,,,,,37.5191227,126.9795864,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08c-ffe4-b044-e053-0a32095ab044,도원유치원,유치원(사립(법인)),정상,,서울특별시 용산구 새창로12길 11-8,,,,,,,,,,,37.5377041,126.9561176,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08d-019f-b044-e053-0a32095ab044,서울남정초등학교병설유치원,유치원(공립(병설)),정상,,서울특별시 용산구 원효로64길 17-10,,,,,,,,,,,37.5357846,126.9641902,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,1ecec08d-01a0-b044-e053-0a32095ab044,신동아큰나무유치원,유치원(사립(사인)),정상,,서울특별시 용산구 이촌로 347,,,,,,,,,,,37.518159,126.9851567,,,,,,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
