ID,공고제목,구분경로,상세링크
"1","금연구역 지도·단속분야 시간선택제임기제마급공무원 채용 1차 서류심사합격자 및 2차 면접시험시행 안내 [2018-12-07]","용산구청 대표홈페이지>용산소개>구정소식>고시/공고","https://www.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=25799&menuNo=200233&dongCd="
"2","금연구역 지도단속분야 시간선택제임기제공무원 채용 공고 [2018-11-19]","용산구청 대표홈페이지>용산소개>구정소식>고시/공고","https://www.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=26178&menuNo=200233&dongCd="
"3","금연구역 지도단속분야 시간선택제임기제공무원 채용 공고 [2018-11-19]","용산구청 보건소>정보마당>공지사항","https://www.yongsan.go.kr/health/bbs/B0000114/view.do?nttId=37095&menuNo=300132&dongCd="
"4","시간선택제임기제공무원(금연구역 지도단속) 면접시험 합격자 발표 및 등록안내 공고 [2018-11-16]","용산구청 대표홈페이지>용산소개>구정소식>고시/공고","https://www.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=25961&menuNo=200233&dongCd="
"5","용산구 금연구역 지도단속분야 시간선택제임기제마급 채용1차 서류심사합격자 및 2차 면접시험시행계획 공고 [2018-11-12]","용산구청 대표홈페이지>용산소개>구정소식>고시/공고","https://www.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=25935&menuNo=200233&dongCd="
"6","용산구 금연구역 지도단속분야 시간선택제임기제마급 채용1차 서류심사합격자 및 2차 면접시험시행계획 공고 [2018-11-12]","용산구청 보건소>정보마당>공지사항","https://www.yongsan.go.kr/health/bbs/B0000114/view.do?nttId=37079&menuNo=300132&dongCd="
"7","금연구역 지도단속분야 시간서택제임기제공무원 신규 채용 공고 [2018-10-24]","용산구청 대표홈페이지>용산소개>구정소식>고시/공고","https://www.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=25770&menuNo=200233&dongCd="
"8","금연구역 지도·단속분야 시간선택제임기제공무원 신규 채용 공고 [2018-10-24]","용산구청 보건소>정보마당>공지사항","https://www.yongsan.go.kr/health/bbs/B0000114/view.do?nttId=37061&menuNo=300132&dongCd="
"9","서울특별시 용산구 금연거리 지정 고시 [2018-03-04]","동주민센터>효창동>우리동소식>고시/공고","https://www.yongsan.go.kr/dong/bbs/B0000127/view.do?nttId=71065&menuNo=600712&dongCd=07"
"10","서울특별시 용산구 금연거리 지정 고시 [2018-02-23]","용산구청 대표홈페이지>용산소개>구정소식>고시/공고","https://www.yongsan.go.kr/portal/bbs/B0000095/view.do?nttId=25100&menuNo=200233&dongCd="
