시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
용산구,11170000216,서울특별시교육청 직장어린이집,직장,정상,04335,서울특별시 용산구 두텁바위로 37,02-310-9250,02-310-9251,,6,224,1,20,1,60,0,37.5462358432906,126.97571598616425,미운영,2026-06-15,,,,2026-07-01,일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,1,2026-07-01 10:32:25.0,11030510,후암동,11030,용산구
용산구,11170000214,프린스술탄어린이집,가정,폐지,04405,서울특별시 용산구 우사단로10길 39 1층,02-6953-7202,,,2,95,0,9,0,20,0,37.53324588964691,126.99733838615177,미운영,2024-01-22,,,2025-05-12,2026-04-16,일반,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2026-04-16 10:32:25.0,11030740,한남동,11030,용산구
용산구,11170000215,데시앙아띠어린이집,국공립,정상,04311,서울특별시 용산구 효창원로 227 106동 1층,02-715-2581,02-715-2582,,3,87,0,8,11,25,24,37.54752995237479,126.96290569773326,미운영,2023-12-26,,,,2026-07-01,야간연장형,3,3,2,0,0,0,2,0,0,10,6,8,10,0,0,0,0,0,0,24,25,38,38,0,0,1,8,0,0,0,0,0,1,0,11,2026-07-01 10:32:25.0,11030580,효창동,11030,용산구
용산구,11170000213,원효루미니어린이집,국공립,정상,04314,서울특별시 용산구 원효로97길 15 1층,02-713-4777,02-713-4778,,4,91,0,13,15,32,31,37.54145907380427,126.96938101184236,미운영,2022-07-01,,,,2026-07-01,일반,3,3,2,0,0,0,0,0,0,8,8,12,11,0,0,0,0,0,0,31,31,15,54,0,0,1,13,0,0,0,0,0,1,0,15,2026-07-01 10:32:25.0,11030720,원효로1동,11030,용산구
용산구,11170000153,서머힐어린이집,가정,정상,04392,"서울특별시 용산구 장문로 27 상가동, 102호 (이태원동, 청화아파트)",02-794-0567,070-4795-0081,http://cafe.daum.net/summerhillyongsan,3,75,0,4,10,20,19,37.52910835195778,126.99367357174061,미운영,2022-01-26,,,,2026-07-01,야간연장형,2,1,0,0,0,0,2,0,0,5,6,5,0,0,0,0,8,0,0,19,22,11,56,0,11,1,8,0,0,0,0,0,0,0,10,2026-07-01 10:32:25.0,11030650,이태원1동,11030,용산구
용산구,11170000210,삼각지어린이집,국공립,정상,04375,"서울특별시 용산구 백범로99길 40 1,2층",02-797-9424,02-797-9425,,5,207,1,25,17,48,48,37.53582388324484,126.97164618985347,미운영,2021-03-17,,,,2026-07-01,일반,2,4,2,1,0,0,0,0,0,9,6,18,14,10,0,0,0,0,0,48,43,14,29,14,0,1,14,0,0,0,0,0,1,0,17,2026-07-01 10:32:25.0,11030730,한강로동,11030,용산구
용산구,11170000209,큰나래어린이집,국공립,정상,04387,"서울특별시 용산구 서빙고로 17 102동 1,2,3층",02-797-7703,02-797-7702,,6,225,3,28,21,82,82,37.52525530284135,126.9678957636705,미운영,2020-09-11,,,,2026-07-01,장애아통합,2,3,3,2,0,0,0,1,2,13,4,15,19,19,0,0,0,20,5,82,35,6,47,12,0,1,15,2,0,0,0,0,1,0,21,2026-07-01 10:32:25.0,11030730,한강로동,11030,용산구
용산구,11170000207,국립중앙박물관 해누림 어린이집,직장,정상,04383,서울특별시 용산구 서빙고로 137 국립중앙박물관,02-2077-9048,02-2077-9969,,4,246,0,19,8,39,16,37.5234949563665,126.97760123514483,미운영,2020-03-06,,,,2026-07-01,일반,0,2,1,0,0,0,0,1,0,4,0,7,6,0,0,0,0,3,0,16,40,0,20,20,20,1,5,0,0,0,0,0,1,0,8,2026-07-01 10:32:25.0,11030690,서빙고동,11030,용산구
용산구,11170000208,목멱어린이집,국공립,정상,04346,서울특별시 용산구 회나무로12나길 10,02-6954-2057,070-7543-1750,,3,163,2,12,8,20,19,37.53904801482917,126.99092548482404,미운영,2020-03-05,,,,2026-07-01,"일반,시간제보육",0,1,1,0,0,0,3,0,0,5,0,4,6,0,0,0,9,0,0,19,14,43,0,14,29,1,6,0,0,0,0,0,1,0,8,2026-07-01 10:32:25.0,11030660,이태원2동,11030,용산구
용산구,11170000206,용산소방서직장어린이집,직장,정상,04375,서울특별시 용산구 한강대로 167 용산소방서,02-749-6034,02-749-6035,,3,99,0,22,9,18,15,37.53408944063891,126.97157896186299,미운영,2020-02-27,,,,2026-07-01,일반,0,2,2,1,0,0,0,0,0,5,0,4,7,4,0,0,0,0,0,15,17,33,33,17,0,1,6,0,0,0,0,0,1,0,9,2026-07-01 10:32:25.0,11030730,한강로동,11030,용산구
