상가업소번호,상호명,지점명,상권업종대분류명,지번주소,도로명주소,경도,위도,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
MA010120220804405973,오피스뱅크,,소매,서울특별시 성동구 성수동2가 300-75,서울특별시 성동구 아차산로7길 3,127.0540672,37.54569437,11040680,성수2가3동,11040,성동구
MA010120220802173210,모아부동산공인중개사사무소,,부동산,서울특별시 성동구 성수동2가 321-17,서울특별시 성동구 성수이로7길 34,127.0537704,37.5420815,11040670,성수2가1동,11040,성동구
MA010120220804496646,디에스코프,,과학·기술,서울특별시 성동구 성수동2가 289-21,서울특별시 성동구 아차산로7길 15-1,127.0544751,37.54646003,11040680,성수2가3동,11040,성동구
MA010120220803794407,학교법인대진교육재단제인병원,,보건의료,서울특별시 성동구 송정동 81-14,서울특별시 성동구 광나루로 243,127.0569443,37.54946821,11040690,송정동,11040,성동구
MA010120220813037112,루이컴,,시설관리·임대,서울특별시 성동구 성수동2가 281-16,서울특별시 성동구 아차산로17길 57,127.0657807,37.54749043,11040680,성수2가3동,11040,성동구
MA010120220802002617,스마트부동산공인중개사사무소,,부동산,서울특별시 성동구 행당동 168-78,서울특별시 성동구 마조로1길 39,127.0392288,37.56094512,11040550,사근동,11040,성동구
MA010120220811908686,손건호의한우일번지,2호점,음식,서울특별시 성동구 마장동 804,서울특별시 성동구 마장로 296,127.0431706,37.56628665,11040540,마장동,11040,성동구
MA010120220800397534,한국후지쯔수리센타주,,수리·개인,서울특별시 성동구 성수동2가 279-25,서울특별시 성동구 아차산로15길 28,127.0635382,37.54523916,11040680,성수2가3동,11040,성동구
MA010120220808521934,니트요인포테크서비시즈,,시설관리·임대,서울특별시 성동구 용답동 228-1,서울특별시 성동구 천호대로 366,127.0595003,37.56176556,11040700,용답동,11040,성동구
MA010120220808664251,깡우동,,음식,서울특별시 성동구 행당동 19-54,서울특별시 성동구 마조로 17,127.040473,37.55955716,11040550,사근동,11040,성동구
MA010120220805446330,브릭타운,,과학·기술,서울특별시 성동구 성수동1가 656-766,서울특별시 성동구 아차산로 38,127.0483985,37.54658882,11040660,성수1가2동,11040,성동구
MA010120220803522230,성일,,과학·기술,서울특별시 성동구 성수동2가 273-67,서울특별시 성동구 성수이로18길 12,127.0582288,37.54234969,11040680,성수2가3동,11040,성동구
MA010120220813033315,쓰리피오,,과학·기술,서울특별시 성동구 용답동 238-2,서울특별시 성동구 자동차시장1길 94-15,127.0681228,37.55961653,11040700,용답동,11040,성동구
MA010120220803410151,하이구조,,과학·기술,서울특별시 성동구 성수동2가 284-66,서울특별시 성동구 성수일로10길 26,127.0529475,37.54658687,11040680,성수2가3동,11040,성동구
MA010120220803763418,동서울,,부동산,서울특별시 성동구 성수동1가 33-2,서울특별시 성동구 뚝섬로3길 6,127.0499221,37.54041634,11040650,성수1가1동,11040,성동구
