기준일ID,시간대구분,행정동코드,총생활인구수
20260601,0,11200520,17598.1138
20260601,0,11200535,20733.7069
20260601,0,11200540,20869.5818
20260601,0,11200550,20905.4858
20260601,0,11200560,37548.991
20260601,0,11200570,20869.2004
20260601,0,11200580,13318.1024
20260601,0,11200590,14389.7735
20260601,0,11200615,21805.9138
20260601,0,11200620,10982.8509
20260601,0,11200645,27303.3653
20260601,0,11200650,13561.3602
20260601,0,11200660,16402.059
20260601,0,11200670,15364.5925
20260601,0,11200690,25213.8095
20260601,0,11200720,10777.6371
20260601,0,11200790,15692.7274
20260601,1,11200520,17707.0056
20260601,1,11200535,21143.2086
20260601,1,11200540,20983.429
20260601,1,11200550,20874.7458
20260601,1,11200560,36660.4218
20260601,1,11200570,20813.7664
20260601,1,11200580,13280.2748
20260601,1,11200590,14461.7279
20260601,1,11200615,21705.6727
20260601,1,11200620,11132.0196
20260601,1,11200645,27317.2845
20260601,1,11200650,13530.3412
20260601,1,11200660,16476.4271
20260601,1,11200670,15325.8568
20260601,1,11200690,25123.355
20260601,1,11200720,10997.9297
20260601,1,11200790,15883.8671
20260601,2,11200520,17823.9331
20260601,2,11200535,20764.191
20260601,2,11200540,20970.1468
20260601,2,11200550,20754.1406
20260601,2,11200560,36672.8466
20260601,2,11200570,20947.0991
20260601,2,11200580,13301.7664
20260601,2,11200590,14487.4249
20260601,2,11200615,21648.4217
20260601,2,11200620,11190.4378
20260601,2,11200645,27320.0876
20260601,2,11200650,13814.2156
20260601,2,11200660,16324.2719
20260601,2,11200670,15311.2786
20260601,2,11200690,24744.3893
20260601,2,11200720,10957.396
20260601,2,11200790,16060.544
20260601,3,11200520,17897.1222
20260601,3,11200535,20979.8758
20260601,3,11200540,21128.7959
20260601,3,11200550,20580.5901
20260601,3,11200560,36540.1292
20260601,3,11200570,21041.7819
20260601,3,11200580,13342.6302
20260601,3,11200590,14333.0254
20260601,3,11200615,21762.7301
20260601,3,11200620,11150.9114
20260601,3,11200645,27358.3988
20260601,3,11200650,13920.242
20260601,3,11200660,16386.1649
20260601,3,11200670,15212.4001
20260601,3,11200690,24318.8342
20260601,3,11200720,10938.1395
20260601,3,11200790,15946.1054
20260601,4,11200520,17921.5254
20260601,4,11200535,21272.1008
20260601,4,11200540,21385.8953
20260601,4,11200550,20701.9659
20260601,4,11200560,36158.8657
20260601,4,11200570,21032.5426
20260601,4,11200580,13357.0817
20260601,4,11200590,14352.912
20260601,4,11200615,21437.451
20260601,4,11200620,11285.6034
20260601,4,11200645,27562.3039
20260601,4,11200650,14062.872
20260601,4,11200660,16515.8029
20260601,4,11200670,15404.9798
20260601,4,11200690,24069.2348
20260601,4,11200720,10988.4513
20260601,4,11200790,16059.3784
20260601,5,11200520,17662.4111
20260601,5,11200535,21362.0118
20260601,5,11200540,21607.6186
20260601,5,11200550,21428.6012
20260601,5,11200560,36894.2495
20260601,5,11200570,20627.2376
20260601,5,11200580,13150.0837
20260601,5,11200590,14170.464
20260601,5,11200615,21055.473
20260601,5,11200620,11616.8862
20260601,5,11200645,28100.6543
