행정기관,인 구 수_계,인 구 수_남,인 구 수_여,5세 이하,18세 이상,65세 이상,세대수,전월대비,순위
왕십리제2동,15630,7462,8168,569,13966,3001,7336,-35,7
왕십리도선동,25497,11991,13506,973,22432,4609,12010,0,1
마장동,21369,10437,10932,487,19621,4577,11117,-20,4
사근동,12151,6283,5868,151,11569,1672,8500,-18,15
행당제1동,15695,7416,8279,592,13915,2748,7361,17,6
행당제2동,22265,10401,11864,903,19429,4552,9109,-5,3
응봉동,14363,6784,7579,486,12417,2716,5829,23,9
금호1가동,14227,6749,7478,566,12480,3118,6328,-10,11
금호2.3가동,20564,9748,10816,848,18304,4299,9365,-19,5
금호4가동,13743,6418,7325,620,11981,2918,6289,-16,12
옥수동,25166,11678,13488,1339,21638,4919,10723,16,2
성수1가제1동,14776,7269,7507,470,13459,2817,7257,-30,8
성수1가제2동,14275,6886,7389,530,12893,2591,7084,-14,10
성수2가제1동,13300,6842,6458,279,12379,3294,7100,-60,13
성수2가제3동,9330,4556,4774,210,8656,2047,4883,-36,16
송정동,9005,4731,4274,173,8407,2055,5109,20,17
용답동,13161,6729,6432,225,12474,2514,8371,10,14
