어린이집명,상세주소,시설 위도(좌표값),시설 경도(좌표값),ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
구립 행당라체르보어린이집,서울특별시 성동구 고산자로2길 71,37.5576481,127.0372917,11040560,행당1동,11040,성동구
구립 서울숲아이파크리버어린이집,서울특별시 성동구 왕십리로 137,37.55072441,127.0425392,11040660,성수1가2동,11040,성동구
햇살 어린이집,서울특별시 성동구 동호로 84 103동 102호,37.54690379,127.0174267,11040620,금호4가동,11040,성동구
현대글로비스 서울숲 어린이집,서울특별시 성동구 서울숲4길 5,37.54777509,127.0416393,11040660,성수1가2동,11040,성동구
모두의 숲 어린이집,서울특별시 성동구 상원6나길 22-7,37.54753876,127.0498872,11040660,성수1가2동,11040,성동구
구립 왕십리하나어린이집,서울특별시 성동구 무학봉16길 9-3,37.56085494,127.0320389,11040520,왕십리2동,11040,성동구
구립 성수아이파크어린이집,"서울특별시 성동구 성수이로 137 관리동 1층 (성수동2가, 성수동아이파크)",37.54708974,127.0565804,11040680,성수2가3동,11040,성동구
구립 행당한신어린이집,"서울특별시 성동구 고산자로 164 관리동 2층(행당동, 행당한신)",37.5562048,127.0354944,11040560,행당1동,11040,성동구
구립 해온어린이집,서울특별시 성동구 성수동1가 왕십리로5길 3,37.54632011,127.0443585,11040660,성수1가2동,11040,성동구
구립 성수롯데캐슬어린이집,"서울특별시 성동구 성수동2가 성수일로8길 47 관리동 (성수동2가, 성수동 롯데캐슬파크)",37.54624563,127.0553802,11040680,성수2가3동,11040,성동구
구립 스위첸숲속어린이집,서울특별시 성동구 무학봉길 35,37.5606044,127.0268737,11040520,왕십리2동,11040,성동구
구립 맑은샘어린이집,서울특별시 성동구 매봉길 51 (옥수동 528-2),37.54659077,127.01338,11040730,옥수동,11040,성동구
구립 서울숲리버뷰자이어린이집,서울특별시 성동구 고산자로2길 65 행당동 100번지일대(행당6구역),37.55632671,127.0389276,11040560,행당1동,11040,성동구
구립 트리마제어린이집,"서울특별시 성동구 성수동1가 왕십리로 16 관리동 (성수동1가, 트리마제)",37.53925615,127.0446712,11040650,성수1가1동,11040,성동구
구립 이편한세상금호어린이집,"서울특별시 성동구 금호로 140 (금호동1가, e편한세상 금호파크힐스아파트 104동 앞)",37.55532274,127.0226063,11040590,금호1가동,11040,성동구
구립 힐스테이트서울숲리버어린이집,서울특별시 성동구 금호동4가 금호로 40 힐스테이트서울숲리버아파트 관리동,37.5467041,127.0255335,11040620,금호4가동,11040,성동구
구립 텐즈아이어린이집,"서울특별시 성동구 무학로 33 114동 1층 (하왕십리동, 텐즈힐1단지)",37.56916398,127.0263471,11040710,왕십리도선동,11040,성동구
서울교통공사 어린이집,서울특별시 성동구 자동차시장길 22 인재개발원 1층,37.5617941,127.056433,11040700,용답동,11040,성동구
구립 왕십리자이어린이집,서울특별시 성동구 난계로 100,37.56066972,127.024832,11040520,왕십리2동,11040,성동구
서울시설공단 누비어린이집,서울특별시 성동구 왕십리로26길 29,37.56569168,127.0329878,11040710,왕십리도선동,11040,성동구
구립 센트라스라온어린이집,"서울특별시 성동구 왕십리로 410 129동(하왕십리동, 센트라스)",37.56499368,127.0284554,11040710,왕십리도선동,11040,성동구
구립 센트라스나래어린이집,"서울특별시 성동구 왕십리로 410 하왕십리동, 123동",37.56575099,127.0264466,11040710,왕십리도선동,11040,성동구
