유치원명,주소,위도,경도,지오코딩출처,매칭주소,지오코딩상태,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
서울마장초등학교병설유치원,서울특별시 성동구 마장로35나길 31,37.568338928080934,127.04160509437718,road,서울특별시 성동구 마장로35나길 31 (마장동),OK,11040540,마장동,11040,성동구
아이들세상유치원,서울특별시 성동구 독서당로 272,37.54632452700333,127.01924110641863,road,"서울특별시 성동구 독서당로 272 (금호동4가,금호동 대우 아파트)",OK,11040620,금호4가동,11040,성동구
경동유치원,서울특별시 성동구 금호로 100,37.550203654189104,127.02832362946009,road,"서울특별시 성동구 금호로 100 (금호동1가,벽산아파트)",OK,11040590,금호1가동,11040,성동구
송곡유치원,서울특별시 성동구 무학로6길 41,37.56509739138987,127.0347422851737,road,서울특별시 성동구 무학로6길 41 (홍익동),OK,11040710,왕십리도선동,11040,성동구
성심유치원,서울특별시 성동구 무학로10길 21,37.56614682190901,127.03361457863244,road,서울특별시 성동구 무학로10길 21 (홍익동),OK,11040710,왕십리도선동,11040,성동구
옥수삼성유치원,서울특별시 성동구 독서당로 218,37.54229506272324,127.01288848724316,road,"서울특별시 성동구 독서당로 218 (옥수동,옥수삼성아파트)",OK,11040730,옥수동,11040,성동구
세성유치원,서울특별시 성동구 독서당로 434,37.553880667512786,127.03406290012504,road,서울특별시 성동구 독서당로 434 (응봉동),OK,11040580,응봉동,11040,성동구
서울용답초등학교병설유치원,서울특별시 성동구 용답25길 1,37.56074844490068,127.05378626938521,road,서울특별시 성동구 용답25길 1 (용답동),OK,11040700,용답동,11040,성동구
서울송원초등학교병설유치원,서울특별시 성동구 동일로43길 9,37.5540963375353,127.06946051046225,road,서울특별시 성동구 동일로43길 9 (송정동),OK,11040690,송정동,11040,성동구
율화유치원,서울특별시 성동구 고산자로2길 35,37.55365560505241,127.03842429104178,road,서울특별시 성동구 고산자로2길 35 (행당동),OK,11040560,행당1동,11040,성동구
서울성수초등학교병설유치원,서울특별시 성동구 아차산로17길 21,37.5443376441852,127.06288582902431,road,서울특별시 성동구 아차산로17길 21 (성수동2가),OK,11040680,성수2가3동,11040,성동구
에덴유치원,서울특별시 성동구 행당로 79,37.556369888317995,127.02614450237832,road,"서울특별시 성동구 행당로 79 (행당동,행당동 대림아파트 유치원및종교)",OK,11040570,행당2동,11040,성동구
벧엘유치원,서울특별시 성동구 행당로6길 97,37.557208825159876,127.03016745015951,road,서울특별시 성동구 행당로6길 97 (행당동),OK,11040570,행당2동,11040,성동구
무학유치원,서울특별시 성동구 무학봉15가길 4,37.56140035798566,127.03053408967945,road,서울특별시 성동구 무학봉15가길 4 (하왕십리동),OK,11040520,왕십리2동,11040,성동구
한양여자대학교부속유치원,서울특별시 성동구 살곶이길 200,37.55913764590071,127.0499952545277,road,서울특별시 성동구 살곶이길 200 (사근동),OK,11040550,사근동,11040,성동구
서울경수초등학교병설유치원,서울특별시 성동구 뚝섬로13길 22,37.5400399039215,127.05775941078247,road,서울특별시 성동구 뚝섬로13길 22 (성수동2가),OK,11040670,성수2가1동,11040,성동구
세인유치원,서울특별시 성동구 마장로42길 26,37.565254545580984,127.04652636932093,road,서울특별시 성동구 마장로42길 26 (마장동),OK,11040540,마장동,11040,성동구
솔유치원,서울특별시 성동구 무학로 50,37.568043361248556,127.03092239179117,road,"서울특별시 성동구 무학로 50 (하왕십리동,벽산아파트)",OK,11040710,왕십리도선동,11040,성동구
서울옥수초등학교병설유치원,서울특별시 성동구 금호로1길 25,37.54623608027818,127.02142048848148,road,서울특별시 성동구 금호로1길 25 (금호동4가),OK,11040620,금호4가동,11040,성동구
미타유치원,서울특별시 성동구 독서당로40길 21,37.54388295201268,127.01739558829648,road,서울특별시 성동구 독서당로40길 21 (옥수동),OK,11040730,옥수동,11040,성동구
서울경동유치원,서울특별시 성동구 성수일로 34,37.5436867777485,127.04976983805335,road,서울특별시 성동구 성수일로 34 (성수동1가),OK,11040650,성수1가1동,11040,성동구
금호유치원,서울특별시 성동구 금호산2길 35,37.548697323213176,127.02358773580873,road,서울특별시 성동구 금호산2길 35 (금호동3가),OK,11040720,금호2·3가동,11040,성동구
옥수예일유치원,서울특별시 성동구 독서당로 191,37.544592953748946,127.01198445142197,road,"서울특별시 성동구 독서당로 191 (옥수동,옥수동극동아파트)",OK,11040730,옥수동,11040,성동구
조은유치원,서울특별시 성동구 살곶이길 50,37.56959055404418,127.04260547794743,road,"서울특별시 성동구 살곶이길 50 (마장동,마장동 현대아파트)",OK,11040540,마장동,11040,성동구
서울숭신초등학교병설유치원,서울특별시 성동구 마장로 161,37.56742400860008,127.0278890029837,road,서울특별시 성동구 마장로 161 (하왕십리동),OK,11040710,왕십리도선동,11040,성동구
서울사근초등학교병설유치원,서울특별시 성동구 사근동11길 16,37.562555588407726,127.04746371760048,road,서울특별시 성동구 사근동11길 16 (사근동),OK,11040550,사근동,11040,성동구
서울옥정초등학교병설유치원,서울특별시 성동구 한림말길 43,37.5413405061593,127.01632979915155,road,서울특별시 성동구 한림말길 43 (옥수동),OK,11040730,옥수동,11040,성동구
로사유치원,서울특별시 성동구 성덕정길 23,37.53973884977834,127.04628357576898,road,서울특별시 성동구 성덕정길 23 (성수동1가),OK,11040650,성수1가1동,11040,성동구
서울동명초등학교병설유치원,서울특별시 성동구 마장로29길 29,37.56812303662046,127.03510825770859,road,서울특별시 성동구 마장로29길 29 (마장동),OK,11040540,마장동,11040,성동구
서울금호초등학교병설유치원,서울특별시 성동구 무수막길 69,37.55270572623896,127.0198741089259,road,서울특별시 성동구 무수막길 69 (금호동2가),OK,11040720,금호2·3가동,11040,성동구
서울경일초등학교병설유치원,서울특별시 성동구 뚝섬로 332,37.54077448020094,127.0471368995973,road,서울특별시 성동구 뚝섬로 332 (성수동1가),OK,11040650,성수1가1동,11040,성동구
서울무학초등학교병설유치원,서울특별시 성동구 무학봉15길 21,37.563261244037065,127.02967818996115,road,서울특별시 성동구 무학봉15길 21 (하왕십리동),OK,11040520,왕십리2동,11040,성동구
