역사_ID,역사명,호선,위도,경도,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
4201,서울역,공항철도1호선,37.553247,126.969769,11030530,남영동,11030,용산구
2632,한강진,6호선,37.539631,127.001725,11030740,한남동,11030,용산구
2631,이태원,6호선,37.534488,126.994302,11030650,이태원1동,11030,용산구
2630,녹사평(용산구청),6호선,37.534675,126.986695,11030520,용산2가동,11030,용산구
2629,삼각지,6호선,37.535534,126.974032,11030730,한강로동,11030,용산구
2628,효창공원앞,6호선,37.539233,126.961384,11030590,용문동,11030,용산구
1261,효창공원앞,경의중앙선,37.538579,126.96221,11030590,용문동,11030,용산구
1010,한남,경원선,37.52943,127.009169,11030740,한남동,11030,용산구
1009,서빙고,경원선,37.519594,126.988537,11030690,서빙고동,11030,용산구
1008,이촌(국립중앙박물관),경원선,37.522427,126.973406,11030730,한강로동,11030,용산구
1003,용산,경부선,37.529849,126.964561,11030730,한강로동,11030,용산구
1002,남영,경부선,37.541021,126.9713,11030530,남영동,11030,용산구
0430,이촌(국립중앙박물관),4호선,37.522295,126.974733,11030730,한강로동,11030,용산구
0429,신용산,4호선,37.52917,126.967894,11030730,한강로동,11030,용산구
0428,삼각지,4호선,37.534075,126.9726,11030730,한강로동,11030,용산구
0427,숙대입구(갈월),4호선,37.54456,126.972106,11030530,남영동,11030,용산구
0426,서울역,4호선,37.55281,126.972556,11030530,남영동,11030,용산구
