사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20260501,4호선,이촌(국립중앙박물관),15757,16285,20260504
20260501,4호선,신용산,22505,24890,20260504
20260501,4호선,삼각지(전쟁기념관),6488,8801,20260504
20260501,4호선,숙대입구(갈월),12116,11654,20260504
20260501,4호선,서울역,8650,19822,20260504
20260501,1호선,서울역,74654,75478,20260504
20260501,공항철도 1호선,서울역,14877,14481,20260504
20260501,경의선,효창공원앞,2227,2435,20260504
20260501,경의선,서울역,1667,1624,20260504
20260501,경원선,한남,2676,2618,20260504
20260501,경원선,서빙고,2055,1919,20260504
20260501,경원선,이촌(국립중앙박물관),3751,2982,20260504
20260501,경부선,용산,64668,72258,20260504
20260501,경부선,남영,7070,7270,20260504
20260501,경부선,서울역,12030,4147,20260504
20260501,6호선,한강진,10870,13732,20260504
20260501,6호선,이태원,15647,20586,20260504
20260501,6호선,녹사평(용산구청),6601,7921,20260504
20260501,6호선,삼각지(전쟁기념관),7164,5841,20260504
20260501,6호선,효창공원앞,5777,5140,20260504
20260502,4호선,숙대입구(갈월),12243,12175,20260505
20260502,4호선,서울역,8700,22059,20260505
20260502,6호선,한강진,11411,14746,20260505
20260502,6호선,이태원,16914,20564,20260505
20260502,6호선,녹사평(용산구청),6592,7747,20260505
20260502,6호선,삼각지(전쟁기념관),8761,7499,20260505
20260502,6호선,효창공원앞,5649,4999,20260505
20260502,4호선,이촌(국립중앙박물관),18123,18527,20260505
20260502,4호선,신용산,21094,23661,20260505
20260502,4호선,삼각지(전쟁기념관),6578,9018,20260505
20260502,경의선,서울역,1706,1698,20260505
20260502,경의선,효창공원앞,2220,2432,20260505
20260502,공항철도 1호선,서울역,15597,14884,20260505
20260502,1호선,서울역,80866,81941,20260505
20260502,경부선,서울역,14391,3908,20260505
20260502,경부선,남영,7088,7552,20260505
20260502,경부선,용산,63307,66436,20260505
20260502,경원선,이촌(국립중앙박물관),3630,3114,20260505
20260502,경원선,서빙고,2198,2119,20260505
20260502,경원선,한남,2607,2744,20260505
20260503,6호선,한강진,8577,10237,20260506
20260503,6호선,이태원,13518,10985,20260506
20260503,6호선,녹사평(용산구청),4356,4574,20260506
20260503,6호선,삼각지(전쟁기념관),6102,5331,20260506
20260503,6호선,효창공원앞,3968,3693,20260506
20260503,4호선,이촌(국립중앙박물관),14286,14463,20260506
20260503,4호선,신용산,17509,18396,20260506
20260503,4호선,삼각지(전쟁기념관),5249,6852,20260506
20260503,4호선,숙대입구(갈월),10381,10263,20260506
20260503,4호선,서울역,6819,17974,20260506
20260503,1호선,서울역,60205,59118,20260506
20260503,공항철도 1호선,서울역,14547,13444,20260506
20260503,경의선,효창공원앞,1574,1851,20260506
20260503,경의선,서울역,1126,1039,20260506
20260503,경원선,한남,1683,1667,20260506
20260503,경원선,서빙고,2485,2549,20260506
20260503,경원선,이촌(국립중앙박물관),2700,2374,20260506
20260503,경부선,용산,56647,53651,20260506
20260503,경부선,남영,5871,6248,20260506
20260503,경부선,서울역,13602,3503,20260506
20260504,1호선,서울역,85326,80521,20260507
20260504,4호선,서울역,13986,24420,20260507
20260504,4호선,숙대입구(갈월),17464,17058,20260507
