기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20260501,00,11170510,13467.5712,394.2269,217.8784,284.7265,247.0751,467.5368,569.2712,709.9923,574.9479,545.1025,507.1809,514.6395,404.1716,301.2283,566.7796,428.1785,226.2909,267.3521,421.6374,547.6026,575.2925,741.3881,525.3848,593.0941,493.7631,534.5587,451.1219,385.6783,971.4708
20260501,00,11170520,11043.4869,179.9672,96.7632,208.9129,306.3925,518.2822,575.6881,664.6216,497.3101,504.0965,378.1798,356.0875,203.9171,196.9145,434.7339,231.1027,130.6233,284.4762,435.8047,592.0569,639.5885,620.7739,440.7382,474.8284,361.493,302.065,328.385,265.0658,814.6171
20260501,00,11170530,9159.1548,105.0775,50.7018,283.251,452.904,432.9355,506.8844,548.1388,422.5231,411.2703,400.0415,458.0034,383.2931,206.088,369.2246,120.481,54.8531,170.1784,476.1995,488.0785,407.8034,433.4118,291.3097,351.3606,259.0069,256.7664,234.7966,173.0908,411.4804
20260501,00,11170555,22149.824,354.1143,254.9621,389.6219,699.5923,1018.7858,1139.4039,1200.4409,792.6399,762.7713,816.0122,683.3891,535.0253,370.9892,662.137,345.7494,187.4082,703.2609,2119.1093,1547.2891,1291.8951,1125.712,778.8894,739.938,654.0205,724.7292,611.3931,417.7716,1222.772
20260501,00,11170560,18204.4406,609.0034,194.5925,304.4714,312.0651,591.9385,926.5468,1152.1594,927.3264,901.5229,646.8217,539.7404,453.3469,208.9286,472.5488,767.3117,227.2197,282.6334,731.2317,1069.952,1202.3076,1377.8168,925.0884,751.9369,638.8883,532.8586,497.7658,254.5469,703.871
20260501,00,11170570,15344.4964,462.7506,206.9149,350.9505,279.5197,445.9624,634.768,632.6102,628.4011,702.396,527.1684,621.6646,429.4412,293.1373,683.7566,362.2419,289.9166,312.175,551.1523,663.3225,788.6114,832.6109,753.0167,630.6297,626.5915,622.0737,563.1766,393.1467,1056.3915
20260501,00,11170580,10082.8356,256.8051,151.6444,149.1985,237.8446,389.015,428.9364,520.9307,441.9474,433.7175,372.1844,327.159,276.3002,160.9524,363.4041,387.8017,182.9685,245.6299,397.4377,451.0424,561.7244,546.3005,468.4499,440.7481,341.7706,381.4667,304.2437,245.1368,618.0756
20260501,00,11170590,8122.6183,270.1494,122.0362,184.7464,134.0916,239.9854,337.3453,448.7619,336.2463,314.3973,271.624,343.4475,235.3384,163.4022,301.7623,265.9822,117.1847,160.5958,233.9326,328.6038,423.0831,524.5788,314.8881,290.6879,274.6178,379.4768,336.8698,202.9905,565.7926
20260501,00,11170625,37428.0068,968.0065,408.4414,842.1388,2330.7091,1685.5006,1905.6899,2192.5303,1869.6887,1724.2083,1298.1795,1371.5236,875.5682,504.1302,1035.2361,963.1503,358.4813,587.0905,1465.9483,1958.1475,2223.3658,2269.0664,1715.0344,1434.6593,1305.5273,1175.5666,896.156,626.4977,1437.7648
20260501,00,11170630,24970.7064,1472.8374,791.0399,682.4894,455.9998,477.1729,475.9272,786.971,1030.2103,1107.7341,1018.7539,995.7302,661.1963,472.6341,1036.3664,1325.2644,684.555,656.8362,610.7653,541.742,588.1434,1161.6471,1290.4817,1367.6983,1168.3747,1036.2341,847.9642,568.963,1656.9746
20260501,00,11170640,7466.5123,249.2684,87.1757,135.8911,189.2712,195.3892,226.5295,451.8302,399.395,270.8062,272.0951,313.2324,263.3008,183.3533,318.8282,163.5061,74.3207,120.7811,249.155,249.8535,298.4353,405.2086,323.274,288.0641,228.891,285.2672,275.7507,251.8149,695.823
20260501,00,11170650,14140.8784,82.6525,44.2591,245.0697,1206.5368,1492.6645,1313.2328,1035.2508,580.7394,633.5218,301.9952,219.5285,185.6345,135.6878,284.7497,148.3471,65.932,315.0988,1102.5433,1340.629,893.1417,595.3777,342.0999,342.7506,206.7918,259.6674,186.1679,146.5308,434.2768
20260501,00,11170660,11565.2885,321.7029,145.8885,171.6876,250.5042,429.5987,515.0374,659.5832,760.8274,543.1173,407.5586,342.4994,242.1164,168.9661,433.1104,339.7859,167.3945,215.8209,359.6253,526.6059,640.8262,707.1652,653.8847,689.1544,389.0797,377.5036,285.3738,245.2598,575.6104
20260501,00,11170685,22291.5849,784.9198,336.9288,410.231,855.3608,1095.564,1104.0012,1347.1693,1242.647,1216.5962,874.3951,768.663,490.2318,309.4198,600.3914,485.8518,217.3328,391.5038,834.617,985.0332,1036.1139,1250.4813,1347.465,937.1559,735.6213,694.9661,556.4553,415.3805,967.0873
20260501,00,11170690,13117.01,567.0399,408.9014,500.7969,289.5255,310.1384,345.7721,451.0138,624.3546,648.9923,592.9233,540.6659,417.5628,258.1216,523.6169,500.4731,319.7464,381.5052,346.8391,343.373,367.1244,498.8845,651.2057,710.0721,509.1923,522.766,399.2032,285.6016,801.5971
20260501,00,11170700,6410.5418,161.2662,109.5305,232.6614,171.8751,216.5199,207.8436,256.8075,252.8209,333.1475,245.5769,293.5978,232.7168,153.8715,308.3477,105.1679,67.1134,123.0056,172.5766,191.3146,223.5012,225.88,322.5445,324.6288,302.2186,241.9564,266.2113,174.3258,493.5127
20260501,01,11170510,13792.3302,406.5083,224.6661,294.3003,251.2191,503.4993,592.2149,706.4209,579.2411,574.4409,519.4051,529.2223,399.1534,294.0385,601.6314,429.0434,226.7484,286.3973,458.9831,573.8749,597.3986,756.4985,540.8933,602.0592,491.9152,532.1195,466.4986,391.4144,962.5244
20260501,01,11170520,10744.3003,174.0935,93.6053,202.2798,322.0047,478.796,542.7555,635.8176,508.6972,497.1556,382.333,340.1197,202.7841,200.9801,429.7666,225.9889,127.7328,269.0893,402.441,526.6586,611.8411,604.1192,438.4801,476.5076,357.6635,300.2163,315.8227,265.9794,810.5712
20260501,01,11170530,8170.1866,95.9309,46.2884,181.1861,326.0276,378.792,422.5903,510.5738,385.984,356.3406,340.0967,418.3263,351.5641,198.8072,340.7286,118.0103,53.7281,143.2548,442.8514,389.5823,375.5753,417.8161,262.9553,307.2073,255.8365,241.5479,218.9397,161.6534,427.9907
20260501,01,11170555,21646.2222,345.1116,248.4803,392.313,642.3839,992.757,1116.7772,1139.5224,793.4077,762.2591,783.4661,644.2335,526.1201,353.7793,642.2306,325.7685,176.5779,694.1864,2038.7279,1566.2669,1279.3328,1119.8067,769.9209,716.7773,642.0456,740.2572,597.0389,395.8866,1200.7878
20260501,01,11170560,18285.3212,626.4103,200.1551,309.8957,299.282,601.8347,919.3873,1168.4673,918.5387,877.2173,660.7389,548.5466,452.2186,207.7126,479.8594,735.1054,217.6825,286.3953,750.7578,1042.5255,1213.9494,1405.8854,979.3556,746.906,656.605,528.3524,491.3816,274.0239,686.1308
20260501,01,11170570,15617.2675,528.7788,236.4388,365.54,286.0396,468.266,653.7579,651.7945,612.7435,735.9771,527.343,630.3072,456.6447,288.8263,687.9048,368.939,295.2765,321.6255,564.8722,683.0897,816.6832,839.3224,743.8938,635.9778,605.1564,622.2706,548.1248,389.3803,1052.2934
20260501,01,11170580,10213.6696,252.0556,148.8399,155.7759,248.9125,393.3533,420.3993,534.1287,455.9997,444.0787,365.4802,326.5848,266.7097,161.5805,388.324,398.1393,187.8456,225.4501,430.9722,474.2369,567.2938,547.7776,460.1157,449.5223,352.3078,387.6625,295.6524,233.1845,641.286
20260501,01,11170590,8201.4588,228.213,103.092,210.0439,147.9109,233.5036,348.3357,416.3467,327.7611,307.6463,274.8082,344.6211,236.9794,175.5375,296.9957,272.5772,120.0901,150.0843,235.2141,338.51,455.1136,501.1071,322.3819,306.9497,283.4524,406.8235,342.8895,217.8164,596.6529
20260501,01,11170625,35012.2835,874.6468,369.049,774.8443,2065.4641,1507.9719,1770.6858,2029.3111,1745.9453,1667.2605,1231.2831,1349.4283,845.9497,505.2415,1014.7018,897.0234,333.8695,543.5506,1237.991,1740.4594,1978.7061,2189.5846,1653.9732,1372.6669,1243.4433,1138.4612,918.2727,609.712,1402.7853
20260501,01,11170630,24754.0592,1506.1108,808.9107,655.2484,443.1183,463.0201,477.133,780.3774,990.9839,1111.0256,985.5258,976.7774,675.5126,469.8209,1012.3187,1326.7917,685.3443,615.7572,569.8329,535.4378,615.743,1142.5714,1293.7139,1343.61,1163.3629,1034.7644,850.5652,565.1271,1655.5542
20260501,01,11170640,7549.0858,249.1948,87.1499,119.0365,185.4692,212.0247,216.2413,455.9303,378.9504,277.0438,277.7096,310.0498,262.3213,196.6379,318.4081,170.311,77.4141,147.7586,279.9559,244.2026,293.0634,407.5063,341.1982,303.6216,239.1177,291.2716,291.5865,247.6171,668.2933
20260501,01,11170650,14258.2454,96.4269,51.635,251.5084,1207.0601,1606.6668,1382.4648,1045.0928,568.2519,622.9294,312.4488,209.6254,194.3519,126.5223,294.0061,175.0312,77.7916,283.8829,1058.2548,1327.7349,856.3012,551.6422,342.5605,326.0758,210.9437,258.8378,191.741,163.4052,465.0516
20260501,01,11170660,11816.8795,317.5131,143.9884,180.7635,271.4145,424.3404,530.673,675.0604,742.3574,585.3229,435.1942,350.9652,248.7965,183.4049,432.3684,342.8971,168.9274,222.0843,383.6535,536.7674,665.8214,719.2548,657.2351,683.8385,391.7676,392.2651,301.5481,242.8077,585.8471
20260501,01,11170685,21751.2102,776.6901,333.3963,426.7369,846.4931,1146.6463,1080.0534,1278.9234,1202.1143,1116.6335,814.2593,765.2477,493.5556,314.7555,612.9738,473.2595,211.7004,387.9561,744.1479,930.3398,988.8608,1231.9196,1331.0248,890.6891,719.6897,682.9901,559.0468,416.8987,974.2079
20260501,01,11170690,13098.3301,547.4372,394.7658,489.4606,300.3584,296.4982,357.1193,454.1263,663.6218,635.7061,619.5904,541.5719,398.2458,252.4059,537.3602,503.172,321.4704,383.3995,377.4199,353.5302,360.8937,482.1363,652.4514,713.2537,503.7894,502.1536,398.382,279.5858,778.4247
20260501,01,11170700,6425.2606,153.0897,103.977,231.3248,157.1303,228.8746,194.9271,264.9025,262.4763,345.5397,248.9014,283.6244,232.8896,141.8473,323.3282,105.2832,67.1873,118.0323,188.8685,185.1011,217.9237,231.7413,326.4672,346.5898,287.7773,245.8188,261.927,181.6053,488.1053
20260501,02,11170510,13706.3456,386.567,213.6449,298.9081,261.034,494.3534,590.139,698.5393,580.991,548.376,519.2443,507.5031,413.0966,294.531,580.9296,425.3458,224.7937,271.1753,460.8013,585.1333,588.7294,763.2839,535.735,591.6566,490.4582,527.6801,476.5869,389.9526,987.1549
20260501,02,11170520,10720.0176,184.8526,99.39,226.517,292.5179,475.2359,538.6439,644.1304,489.3755,499.1764,359.6216,356.6136,194.3544,201.6131,433.1938,230.5401,130.3051,273.7111,365.3871,538.2916,604.4384,612.8656,428.743,480.1031,362.7714,311.5379,318.4776,273.541,794.0695
20260501,02,11170530,8046.3952,80.0173,38.6099,168.0373,288.1436,369.4872,434.7897,505.0881,374.5217,333.0573,337.062,437.1813,383.0215,211.015,370.9912,118.2785,53.8503,146.7638,371.2774,364.6807,367.8087,366.6017,270.1126,319.7391,269.2926,254.1291,225.2857,152.5234,435.028
20260501,02,11170555,21381.4976,354.1212,254.9672,372.293,611.9735,936.1313,1088.249,1151.8705,785.5106,758.0943,786.0729,649.3434,502.4558,361.0374,635.5674,327.2952,177.4054,698.2223,2067.7719,1532.6071,1252.4137,1101.8126,781.3624,742.8543,626.7925,713.181,563.5975,390.7748,1157.72
20260501,02,11170560,18452.1499,622.979,199.0582,310.802,300.6865,653.3868,951.8059,1177.0246,955.5587,889.6549,648.3978,537.4596,438.9179,215.5307,472.2064,699.8329,207.2377,262.8061,752.7324,1090.2212,1244.906,1415.9996,986.0571,740.4158,642.5335,528.2076,507.4617,285.0065,715.2614
20260501,02,11170570,15743.4954,546.0287,244.152,335.7275,288.0067,471.0295,671.3796,649.32,639.1732,726.1858,525.325,627.4846,447.7258,292.0971,707.8964,371.2708,297.1422,336.9432,566.8239,703.3625,806.9511,832.8895,753.6771,633.373,624.5838,623.5765,554.3738,398.6407,1068.3554
20260501,02,11170580,10277.1281,248.6079,146.8037,183.2281,244.698,384.5114,441.5983,544.4814,450.9826,443.0622,376.5074,323.045,273.6187,172.6572,376.9533,387.4717,182.813,241.1792,426.1668,480.2614,557.4788,564.64,471.6899,463.0571,352.8235,407.3701,297.7605,234.4141,599.2467
