관리번호,시도명,시군구명,쓰레기통종류,설치주소,상세위치,관리기관,관리기관전화번호,위도,경도,지오코딩출처,매칭주소,지오코딩상태,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
1,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로4가 118-16,산호아파트 앞 삼거리 횡단보도 버스정류장(03-299),용산구청 청소행정과,02-2199-7304,37.53274873589359,126.95055071413961,parcel,서울특별시 용산구 원효로4가 118-16,OK(parcel 폴백),11030570,원효로2동,11030,용산구
2,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로4가 114-36,원효로4가 현대자동차서비스(원효로3가방면) 버스정류장(03-301),용산구청 청소행정과,02-2199-7304,37.53210615122359,126.95296608294672,parcel,서울특별시 용산구 원효로4가 114-36,OK(parcel 폴백),11030570,원효로2동,11030,용산구
3,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로3가 250-10,목월공원 앞,용산구청 청소행정과,02-2199-7304,37.53242617364121,126.95485518645445,parcel,서울특별시 용산구 원효로3가 250-10,OK(parcel 폴백),11030570,원효로2동,11030,용산구
4,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로3가 56-1,원효로3가 시범아파트 버스정류장(03-146),용산구청 청소행정과,02-2199-7304,37.534081271993536,126.95819279522041,parcel,서울특별시 용산구 원효로3가 56-1,OK(parcel 폴백),11030570,원효로2동,11030,용산구
5,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 45-1,유닉스빌딩 앞 버스정류장(03-140),용산구청 청소행정과,02-2199-7304,37.53988408187965,126.9690179675838,parcel,서울특별시 용산구 원효로1가 45-1,OK(parcel 폴백),11030720,원효로1동,11030,용산구
6,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 94-2,원효아파트 앞 횡단보도,용산구청 청소행정과,02-2199-7304,37.53503180782329,126.96158047898405,parcel,서울특별시 용산구 원효로2가 94-2,OK(parcel 폴백),11030720,원효로1동,11030,용산구
7,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 84-10,열린 동물병원 앞,용산구청 청소행정과,02-2199-7304,37.53562970076259,126.96174121331892,parcel,서울특별시 용산구 원효로2가 84-10,OK(parcel 폴백),11030720,원효로1동,11030,용산구
8,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 25-11,꿈나무종합타운 앞,용산구청 청소행정과,02-2199-7304,37.538284172311435,126.9665355293977,parcel,서울특별시 용산구 원효로1가 25-11,OK(parcel 폴백),11030720,원효로1동,11030,용산구
9,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 39-6,용산경찰서 입구(GS25 편의점 앞),용산구청 청소행정과,02-2199-7304,37.54040957034631,126.968928915682,parcel,서울특별시 용산구 원효로1가 39-6,OK(parcel 폴백),11030720,원효로1동,11030,용산구
10,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동3가 80-7,선린인터넷고등학교 입구( CU편의점 앞 ),용산구청 청소행정과,02-2199-7304,37.54176658373097,126.9704029391826,parcel,서울특별시 용산구 청파동3가 80-7,OK(parcel 폴백),11030710,청파동,11030,용산구
11,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 1-38,꿈나무종합타운 보건분소 앞 사거리(해오름공인중개사),용산구청 청소행정과,02-2199-7304,37.53771666900433,126.96634657884695,parcel,서울특별시 용산구 원효로2가 1-38,OK(parcel 폴백),11030720,원효로1동,11030,용산구
