행정구역코드,행정동코드,행정동코드8,행정동명,시도명,시군구명
11030730,11170625,11170625,한강로동,서울특별시,용산구
11140550,11200540,11200540,마장동,서울특별시,성동구
11140590,11200590,11200590,사근동,서울특별시,성동구
11140650,11200650,11200650,행당제1동,서울특별시,성동구
11140660,11200660,11200660,행당제2동,서울특별시,성동구
11140690,11200690,11200690,응봉동,서울특별시,성동구
11140720,11200720,11200720,금호1가동,서울특별시,성동구
11140730,11200730,11200730,금호2.3가동,서울특별시,성동구
11140740,11200740,11200740,금호4가동,서울특별시,성동구
11140750,11200750,11200750,옥수동,서울특별시,성동구
11140760,11200760,11200760,성수1가제1동,서울특별시,성동구
11140770,11200770,11200770,성수1가제2동,서울특별시,성동구
11140780,11200800,11200800,성수2가제1동,서울특별시,성동구
11140790,11200810,11200810,성수2가제3동,서울특별시,성동구
11140800,11200820,11200820,송정동,서울특별시,성동구
11140810,11200830,11200830,용답동,서울특별시,성동구
