자치구,사업장명,주소
성동구,(주)도성개발,서울특별시 성동구 천호대로 440 인원빌딩 (용답동)
성동구,성원이앤아이(주),서울특별시 성동구 가람길 173 (송정동)
성동구,만강건설(주),서울특별시 성동구 가람길 113 후생관 (송정동)
성동구,주식회사 넥스트키친,서울특별시 성동구 뚝섬로 403 (성수동2가)
성동구,(주)로얄테크,서울특별시 성동구 성수일로4길 25 서울숲코오롱디지털타워 (성수동2가)
성동구,세종씨앤피주식회사,서울특별시 성동구 아차산로 138 (성수동2가)
성동구,주식회사 솔마루미트,서울특별시 성동구 고산자로 330 B1층 (마장동)
성동구,주식회사 천일에너지,서울특별시 성동구 가람길 113 후생관 송정동 (송정동)
성동구,(주)신세계푸드 메인주방,서울특별시 성동구 성수이로 51 서울숲한라시그마벨리 지하1층
성동구,적성건설(주),서울특별시 성동구 무학봉28길 5 (하왕십리동 상리제나우스)
성동구,(주)신세계푸드 R&D센터,서울특별시 성동구 아차산로5길 7 아주디지털타워 5~7층 (성수동2가)
성동구,(주)신세계푸드 메인주방,서울특별시 성동구 성수이로 51 서울숲한라시그마벨리 지하1층
성동구,(주)안심푸드에프엠비,서울특별시 성동구 고산자로16길 8-1 두산아파트 1층
성동구,농업회사법인 (주)가람,서울특별시 성동구 마장로35나길 9-1 (마장동)
성동구,한불모터스(주)성수서비스센터,서울특별시 성동구 광나루로 310 한불모터스(주) (성수동2가)
성동구,(주)에코시티서울,서울특별시 성동구 가람길 113 (송정동)
성동구,한국전력공사 서울본부,서울특별시 성동구 마장로39길 7 (마장동)
성동구,(주)엘피존,서울특별시 성동구 성수이로22길 57 영진디지털타워 4층
성동구,(주)신도리코,서울특별시 성동구 성수이로24길 3
성동구,한국전력 광진성동지사,서울특별시 성동구 마장로27길 13 (마장동)
성동구,삼성물산(주),서울특별시 성동구 왕십리로 27 (성수동1가)
성동구,(주)리딩푸드시스템 k1(앰코테크놀로지코리아),서울특별시 성동구 동일로 151 2층 (성수동2가 앰코코리아)
성동구,서울교통공사 군자차량사업소,서울특별시 성동구 천호대로78길 58 (용답동 지하철군자차량기지)
성동구,(주)프리마산업,서울특별시 성동구 자동차시장3길 64 (용답동)
성동구,(주)정직한고기총각,서울특별시 성동구 마장로29길 60 (마장동)
성동구,주식회사 남은종합유통,서울특별시 성동구 고산자로 326-17 1층 2호 (마장동)
성동구,(주)참우푸드,서울특별시 성동구 마장로29길 51-1 (마장동)
성동구,(주)강원축산,서울특별시 성동구 청계천로10가길 70 (마장동)
성동구,아침한우,서울특별시 성동구 고산자로22길 3 2층 (마장동)
성동구,(주)태양미트고기선수촌,서울특별시 성동구 청계천로10가길 102 (마장동)
성동구,새로미,서울특별시 성동구 마장로39길 7  (마장동)
성동구,(주)이마트 성수점,서울특별시 성동구 뚝섬로 379 (성수동2가)
성동구,(주)이마트왕십리점,서울특별시 성동구 왕십리광장로 17 (행당동)
성동구,(주)비트플렉스,서울특별시 성동구 왕십리광장로 17 (행당동)
성동구,성동구청,서울특별시 성동구 고산자로 270  (행당동)
성동구,시설관리공단,서울특별시 성동구 청계천로 540  (마장동)
성동구,롯데쇼핑(주)롯데마트행당역점,서울특별시 성동구 행당로 84 (행당동 행당한진타운종합상가)
성동구,한양여자대학교,서울특별시 성동구 살곶이길 200 (사근동 한양여자대학)
성동구,한양대학교,서울특별시 성동구 왕십리로 222 한양대학교 (사근동)
성동구,경남식품,서울특별시 성동구 광나루로6길 7  (성수동2가)
성동구,서울특별시 한강사업본부,서울특별시 성동구 강변북로 257 1층 (성수동1가 한강사업본부)
성동구,뚝도아리수정수센터,서울특별시 성동구 왕십리로 27 (성수동1가)
성동구,(주)용진기전,서울특별시 성동구 자동차시장1길 70 장안평중고자동차시장 A동 3층
성동구,호산테크닉,서울특별시 성동구 아차산로5길 19-1 (성수동2가)
성동구,한국인터텍테스팅서비스(주),서울특별시 성동구 아차산로5길 7 1층 (성수동2가 아주디지털타워 )
성동구,한양대학교,서울특별시 성동구 왕십리로 222 한양대학교 (사근동)
성동구,(주)동국금속,서울특별시 성동구 성수이로18길 44 1층 (성수동2가)
성동구,주성바렛연마,서울특별시 성동구 성수동1가 13-14 
성동구,(주)예스코,서울특별시 성동구 자동차시장길 23 (용답동 예스코)
성동구,서울메트로 군자차량사업소,서울특별시 성동구 천호대로78길 58 (용답동)
성동구,주-한국아스텐엔지니어링,서울특별시 성동구 자동차시장3길 64 (송정동)
성동구,서울시중랑물재생센터,서울특별시 성동구 자동차시장3길 64 (용답동 중랑물재생센터)
