관리번호,시도명,시군구명,쓰레기통종류,설치주소,상세위치,관리기관,관리기관전화번호
1,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로4가 118-16,산호아파트 앞 삼거리 횡단보도 버스정류장(03-299),용산구청 청소행정과,02-2199-7304
2,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로4가 114-36,원효로4가 현대자동차서비스(원효로3가방면) 버스정류장(03-301) ,용산구청 청소행정과,02-2199-7304
3,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로3가 250-10,목월공원 앞,용산구청 청소행정과,02-2199-7304
4,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로3가 56-1,원효로3가 시범아파트 버스정류장(03-146),용산구청 청소행정과,02-2199-7304
5,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 45-1,유닉스빌딩 앞 버스정류장(03-140) ,용산구청 청소행정과,02-2199-7304
6,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 94-2,원효아파트 앞 횡단보도,용산구청 청소행정과,02-2199-7304
7,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 84-10,열린 동물병원 앞,용산구청 청소행정과,02-2199-7304
8,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 25-11,꿈나무종합타운 앞,용산구청 청소행정과,02-2199-7304
9,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 39-6,용산경찰서 입구(GS25 편의점 앞) ,용산구청 청소행정과,02-2199-7304
10,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동3가 80-7,선린인터넷고등학교 입구( CU편의점 앞 ),용산구청 청소행정과,02-2199-7304
11,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 1-38,꿈나무종합타운 보건분소 앞 사거리(해오름공인중개사),용산구청 청소행정과,02-2199-7304
12,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 224-32,소화아동병원 앞(택시정류장),용산구청 청소행정과,02-2199-7304
